dataset,seed,method,best_val,test_at_best_val,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,final_edges
ACM,42,local_uniform_vote,0.5960264801979065,0.6128500699996948,0.6130661855812605,0.6260296106338501,0.5716639161109924,0,0,0
ACM,42,local_reliability_vote,0.7764900922775269,0.7660625576972961,0.7664939751611866,0.7891268134117126,0.7660625576972961,0,0,0
ACM,42,fixed_ring,0.7698675394058228,0.7627676725387573,0.7619282945736434,0.7858319282531738,0.7627676725387573,0,272250,15
ACM,42,random_regular,0.7682119011878967,0.7611202597618103,0.762241053156906,0.7775946855545044,0.7644151449203491,0,272250,15
ACM,42,expander,0.7698675394058228,0.7693575024604797,0.769837884496594,0.780889630317688,0.7627676725387573,0,272250,15
ACM,42,full_mesh,0.7814569473266602,0.7627676725387573,0.7623539369325737,0.7841845154762268,0.7693575024604797,0,1905750,105
ACM,42,adaptive_pair,0.7864238619804382,0.7710049152374268,0.7706533975484725,0.7874794006347656,0.7759472727775574,0,254100,14
ACM,42,adaptive_complementarity,0.7814569473266602,0.7775946855545044,0.7758585754633917,0.7874794006347656,0.7726523876190186,0,254100,14
ACM,42,adaptive_graph_val,0.8675496578216553,0.8467874526977539,0.8461445744917055,0.8566721677780151,0.828665554523468,0,90750,5
ACM,43,local_uniform_vote,0.6274834275245667,0.6079077124595642,0.6058143933770364,0.6177924275398254,0.5996704697608948,0,0,0
ACM,43,local_reliability_vote,0.807947039604187,0.7742998003959656,0.7730434424040783,0.7973640561103821,0.7693575024604797,0,0,0
ACM,43,fixed_ring,0.7996688485145569,0.7775946855545044,0.7780832482063366,0.7940691709518433,0.7742998003959656,0,272250,15
ACM,43,random_regular,0.7913907170295715,0.7611202597618103,0.760936921020266,0.782537043094635,0.7611202597618103,0,254100,14
ACM,43,expander,0.8029801249504089,0.7775946855545044,0.7768704695826446,0.7973640561103821,0.7742998003959656,0,272250,15
ACM,43,full_mesh,0.806291401386261,0.7742998003959656,0.7741405407054104,0.7973640561103821,0.7742998003959656,0,1905750,105
ACM,43,adaptive_pair,0.8178808093070984,0.7710049152374268,0.7722892615642865,0.7957166433334351,0.7710049152374268,0,272250,15
ACM,43,adaptive_complementarity,0.8162251710891724,0.780889630317688,0.7795846854670384,0.7990115284919739,0.7792421579360962,0,272250,15
ACM,43,adaptive_graph_val,0.9006622433662415,0.8517298102378845,0.8497472677595629,0.859967052936554,0.8401976823806763,0,90750,5
ACM,44,local_uniform_vote,0.6175496578216553,0.5749588012695312,0.5743267315948278,0.6062602996826172,0.5815485715866089,0,0,0
ACM,44,local_reliability_vote,0.7781456708908081,0.7693575024604797,0.7693024285987972,0.7874794006347656,0.7742998003959656,0,0,0
ACM,44,fixed_ring,0.7731788158416748,0.7759472727775574,0.7779771099934698,0.7891268134117126,0.7759472727775574,0,272250,15
ACM,44,random_regular,0.7748344540596008,0.7611202597618103,0.7620819872680024,0.7858319282531738,0.7710049152374268,0,272250,15
ACM,44,expander,0.7731788158416748,0.7759472727775574,0.7786243775773887,0.7874794006347656,0.7742998003959656,0,272250,15
ACM,44,full_mesh,0.7764900922775269,0.7742998003959656,0.7752997836773022,0.7891268134117126,0.7726523876190186,0,1905750,105
ACM,44,adaptive_pair,0.7798013091087341,0.7742998003959656,0.7754177166512913,0.7990115284919739,0.780889630317688,0,272250,15
ACM,44,adaptive_complementarity,0.7798013091087341,0.7644151449203491,0.7641019383117992,0.7940691709518433,0.7759472727775574,0,272250,15
ACM,44,adaptive_graph_val,0.8841059803962708,0.8517298102378845,0.8534152283317381,0.876441478729248,0.8583195805549622,0,90750,5
ACM,45,local_uniform_vote,0.610927164554596,0.5782536864280701,0.5752900568829592,0.5996704697608948,0.5749588012695312,0,0,0
ACM,45,local_reliability_vote,0.7963576316833496,0.780889630317688,0.7818984890377312,0.7973640561103821,0.7759472727775574,0,0,0
ACM,45,fixed_ring,0.7880794405937195,0.7677100300788879,0.7674973620287946,0.7858319282531738,0.7742998003959656,0,272250,15
ACM,45,random_regular,0.7880794405937195,0.7528830170631409,0.7506427922739122,0.7874794006347656,0.7693575024604797,0,272250,15
ACM,45,expander,0.7880794405937195,0.7710049152374268,0.771026945589782,0.7924217581748962,0.7726523876190186,0,272250,15
ACM,45,full_mesh,0.7864238619804382,0.7627676725387573,0.7632405102716331,0.7940691709518433,0.7627676725387573,0,1905750,105
ACM,45,adaptive_pair,0.7963576316833496,0.7907742857933044,0.7924882695771669,0.7907742857933044,0.7759472727775574,0,272250,15
ACM,45,adaptive_complementarity,0.7947019934654236,0.7759472727775574,0.7780672957850968,0.7957166433334351,0.7858319282531738,0,254100,14
ACM,45,adaptive_graph_val,0.8956953883171082,0.8533772230148315,0.8546521641766461,0.861614465713501,0.8517298102378845,0,90750,5
ACM,46,local_uniform_vote,0.6324503421783447,0.5864909291267395,0.5828202080148436,0.6227347254753113,0.5980230569839478,0,0,0
ACM,46,local_reliability_vote,0.809602677822113,0.782537043094635,0.7800810908680761,0.7924217581748962,0.780889630317688,0,0,0
ACM,46,fixed_ring,0.7980132699012756,0.7775946855545044,0.7762990086889676,0.782537043094635,0.7775946855545044,0,272250,15
ACM,46,random_regular,0.7913907170295715,0.7677100300788879,0.7657748525226434,0.7775946855545044,0.7677100300788879,0,272250,15
ACM,46,expander,0.809602677822113,0.7775946855545044,0.7746192820623263,0.7891268134117126,0.782537043094635,0,272250,15
ACM,46,full_mesh,0.809602677822113,0.7792421579360962,0.7763458045625088,0.7874794006347656,0.7792421579360962,0,1905750,105
ACM,46,adaptive_pair,0.806291401386261,0.7775946855545044,0.7750775292974007,0.7940691709518433,0.7841845154762268,0,272250,15
ACM,46,adaptive_complementarity,0.809602677822113,0.7792421579360962,0.7777408985155975,0.7957166433334351,0.782537043094635,0,272250,15
ACM,46,adaptive_graph_val,0.8990066051483154,0.8830313086509705,0.8836720872936034,0.8896210789680481,0.874794065952301,0,90750,5
