dataset,seed,method,best_val,test_at_best_val,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,final_edges
DBLP,42,local_uniform_vote,0.644444465637207,0.6203930974006653,0.5185125802532737,0.624078631401062,0.5909090638160706,0,0,0
DBLP,42,local_reliability_vote,0.8839506506919861,0.8648648262023926,0.8485818628757007,0.8697788715362549,0.8501228094100952,0,0,0
DBLP,42,fixed_ring,0.8814815282821655,0.8611793518066406,0.8461928734783586,0.8648648262023926,0.8464373350143433,0,486840,15
DBLP,42,random_regular,0.869135856628418,0.8550368547439575,0.8343986921408135,0.8550368547439575,0.8366093039512634,0,486840,15
DBLP,42,expander,0.8802469372749329,0.8611793518066406,0.8421318539978924,0.8673218488693237,0.8501228094100952,0,486840,15
DBLP,42,full_mesh,0.8802469372749329,0.8611793518066406,0.8461928734783586,0.8673218488693237,0.8513513207435608,0,3407880,105
DBLP,42,adaptive_pair,0.8827160596847534,0.8587223291397095,0.8404139490536642,0.8710073828697205,0.8476658463478088,0,454384,14
DBLP,42,adaptive_complementarity,0.879012405872345,0.8562653660774231,0.837008405041444,0.8697788715362549,0.8439803123474121,0,454384,14
DBLP,42,adaptive_graph_val,0.9222222566604614,0.8918918967247009,0.8807388382413512,0.8955773711204529,0.8845208883285522,0,162280,5
DBLP,43,local_uniform_vote,0.6456790566444397,0.6363636255264282,0.5577938443461009,0.6560196280479431,0.6167076230049133,0,0,0
DBLP,43,local_reliability_vote,0.8703703880310059,0.8746928572654724,0.8564896746488011,0.8796068429946899,0.8538083434104919,0,0,0
DBLP,43,fixed_ring,0.8666667342185974,0.8722358345985413,0.8527529227166548,0.8734643459320068,0.8501228094100952,0,486840,15
DBLP,43,random_regular,0.8160493969917297,0.8230957984924316,0.7841586371734294,0.8292382955551147,0.8083537817001343,0,454384,14
DBLP,43,expander,0.8679012656211853,0.8710073828697205,0.8516561749122162,0.8771498799324036,0.8464373350143433,0,486840,15
DBLP,43,full_mesh,0.8679012656211853,0.8722358345985413,0.8540752384056614,0.8722358345985413,0.8464373350143433,0,3407880,105
