dataset,seed,method,best_val,test_at_best_val,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,final_edges
DBLP,42,local_uniform_vote,0.8518518805503845,0.8169533014297485,0.7744108555102491,0.8329238295555115,0.8206387758255005,0,0,0
DBLP,42,local_reliability_vote,0.9234568476676941,0.9004913568496704,0.8905701485725793,0.9004913568496704,0.8882063627243042,0,0,0
DBLP,42,fixed_ring,0.924691379070282,0.9004913568496704,0.8883707553763635,0.9029483795166016,0.8882063627243042,0,486840,15
DBLP,42,random_regular,0.9222222566604614,0.8992629051208496,0.8883636563955858,0.9029483795166016,0.8882063627243042,0,486840,15
DBLP,42,expander,0.9209877252578735,0.8992629051208496,0.8882793691394085,0.901719868183136,0.8869778513908386,0,486840,15
DBLP,42,full_mesh,0.9283950924873352,0.9029483795166016,0.892219346531489,0.9041768908500671,0.885749340057373,0,3407880,105
DBLP,42,adaptive_pair,0.9283950924873352,0.9004913568496704,0.8884860160353866,0.9054054021835327,0.8882063627243042,0,486840,15
DBLP,42,adaptive_complementarity,0.9222222566604614,0.898034393787384,0.8873345232572227,0.901719868183136,0.8906633853912354,0,454384,14
DBLP,42,adaptive_graph_val,0.9320988059043884,0.9004913568496704,0.8897778138076242,0.9115478992462158,0.8931203484535217,0,162280,5
DBLP,43,local_uniform_vote,0.8555555939674377,0.8439803123474121,0.8113543748158655,0.8513513207435608,0.8452088236808777,0,0,0
DBLP,43,local_reliability_vote,0.9185185432434082,0.8943488597869873,0.8792625502449793,0.9152333736419678,0.8955773711204529,0,0,0
DBLP,43,fixed_ring,0.9197531342506409,0.9004913568496704,0.8869206413973579,0.9127764105796814,0.8992629051208496,0,486840,15
DBLP,43,random_regular,0.9185185432434082,0.8906633853912354,0.8737293722596153,0.9066339135169983,0.8943488597869873,0,454384,14
DBLP,43,expander,0.9222222566604614,0.8906633853912354,0.8749622406663746,0.914004921913147,0.8943488597869873,0,486840,15
DBLP,43,full_mesh,0.9185185432434082,0.9054054021835327,0.894058500459753,0.9127764105796814,0.8955773711204529,0,3407880,105
DBLP,43,adaptive_pair,0.9185185432434082,0.898034393787384,0.8840559782607789,0.9164618849754333,0.9004913568496704,0,486840,15
DBLP,43,adaptive_complementarity,0.9222222566604614,0.9004913568496704,0.8880217189184852,0.9127764105796814,0.8906633853912354,0,486840,15
DBLP,43,adaptive_graph_val,0.9308642148971558,0.9201474189758301,0.913098428003487,0.9201474189758301,0.9078623652458191,0,194736,6
DBLP,44,local_uniform_vote,0.8469136357307434,0.8538083434104919,0.8300064895177666,0.8550368547439575,0.8538083434104919,0,0,0
DBLP,44,local_reliability_vote,0.9000000357627869,0.9226043820381165,0.9161146444298175,0.923832893371582,0.9189189076423645,0,0,0
DBLP,44,fixed_ring,0.9000000357627869,0.9201474189758301,0.9127059064471037,0.923832893371582,0.9201474189758301,0,486840,15
DBLP,44,random_regular,0.8987654447555542,0.9176903963088989,0.9098426213603078,0.9226043820381165,0.9226043820381165,0,486840,15
DBLP,44,expander,0.9049383401870728,0.9176903963088989,0.9098399578246722,0.9262899160385132,0.9201474189758301,0,486840,15
DBLP,44,full_mesh,0.9012346267700195,0.9189189076423645,0.9110450851887548,0.9226043820381165,0.9201474189758301,0,3407880,105
DBLP,44,adaptive_pair,0.9000000357627869,0.9250614047050476,0.9194035935144103,0.9250614047050476,0.9176903963088989,0,454384,14
DBLP,44,adaptive_complementarity,0.9012346267700195,0.9189189076423645,0.911052303724957,0.923832893371582,0.9213759303092957,0,454384,14
DBLP,44,adaptive_graph_val,0.914814829826355,0.9275184273719788,0.9221135683424752,0.9287469387054443,0.9287469387054443,0,194736,6
DBLP,45,local_uniform_vote,0.8469136357307434,0.8390663266181946,0.8118050722238528,0.8415233492851257,0.8329238295555115,0,0,0
DBLP,45,local_reliability_vote,0.9111111760139465,0.9078623652458191,0.9018204448532123,0.9078623652458191,0.8931203484535217,0,0,0
DBLP,45,fixed_ring,0.9111111760139465,0.9054054021835327,0.8983382645521096,0.9054054021835327,0.8943488597869873,0,486840,15
DBLP,45,random_regular,0.9111111760139465,0.8968058824539185,0.8880557114594738,0.9054054021835327,0.8955773711204529,0,486840,15
DBLP,45,expander,0.9098765850067139,0.9054054021835327,0.8987229162330244,0.9054054021835327,0.8955773711204529,0,486840,15
DBLP,45,full_mesh,0.9135802984237671,0.9090908765792847,0.9035080024954867,0.9152333736419678,0.898034393787384,0,3407880,105
DBLP,45,adaptive_pair,0.9111111760139465,0.9066339135169983,0.900248949579832,0.9066339135169983,0.8943488597869873,0,486840,15
DBLP,45,adaptive_complementarity,0.9123457074165344,0.9054054021835327,0.8988510936895083,0.9078623652458191,0.8943488597869873,0,454384,14
