dataset,seed,method,best_val,test_at_best_val,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,final_edges
IMDB,42,local_uniform_vote,0.30722278356552124,0.28125,0.11825452927780104,0.2963709533214569,0.24395160377025604,0,0,0
IMDB,42,local_reliability_vote,0.30722278356552124,0.2822580635547638,0.1191924424564585,0.2943548262119293,0.25,0,0,0
IMDB,42,fixed_ring,0.3082400858402252,0.2832661271095276,0.11954160643750847,0.2953628897666931,0.24798385798931122,0,739800,15
IMDB,42,random_regular,0.30722278356552124,0.2822580635547638,0.11925390427200329,0.2953628897666931,0.24596773087978363,0,739800,15
IMDB,42,expander,0.3082400858402252,0.2832661271095276,0.11954160643750847,0.2953628897666931,0.24697579443454742,0,739800,15
IMDB,42,full_mesh,0.30722278356552124,0.2822580635547638,0.1191924424564585,0.2943548262119293,0.24798385798931122,0,5178600,105
IMDB,42,adaptive_pair,0.31129196286201477,0.27217739820480347,0.1781672105877977,0.2973790168762207,0.24798385798931122,0,739800,15
IMDB,42,adaptive_complementarity,0.31332656741142273,0.27419352531433105,0.17730157773350314,0.2953628897666931,0.24798385798931122,0,690480,14
IMDB,42,adaptive_graph_val,0.34791454672813416,0.2852822542190552,0.1954094007384538,0.3104838728904724,0.28125,0,394560,8
IMDB,43,local_uniform_vote,0.3031536042690277,0.28830644488334656,0.18161712129125737,0.2943548262119293,0.27419352531433105,0,0,0
IMDB,43,local_reliability_vote,0.3143438398838043,0.2963709533214569,0.19073447159258167,0.30342739820480347,0.28629031777381897,0,0,0
IMDB,43,fixed_ring,0.31332656741142273,0.2973790168762207,0.18933617069068367,0.30544352531433105,0.2842741906642914,0,739800,15
IMDB,43,random_regular,0.31841301918029785,0.28931450843811035,0.18725320509534113,0.30342739820480347,0.28830644488334656,0,690480,14
IMDB,43,expander,0.31332656741142273,0.2973790168762207,0.18933617069068367,0.30544352531433105,0.2842741906642914,0,739800,15
IMDB,43,full_mesh,0.3143438398838043,0.2963709533214569,0.19073447159258167,0.30443546175956726,0.2842741906642914,0,5178600,105
IMDB,43,adaptive_pair,0.31332656741142273,0.2963709533214569,0.1910870975733481,0.30645161867141724,0.29133063554763794,0,690480,14
IMDB,43,adaptive_complementarity,0.3153611421585083,0.2953628897666931,0.19043775236846064,0.30645161867141724,0.2852822542190552,0,739800,15
IMDB,43,adaptive_graph_val,0.3387589156627655,0.2983870804309845,0.20807882230871172,0.3417338728904724,0.3014112710952759,0,295920,6
IMDB,44,local_uniform_vote,0.2970498502254486,0.27520161867141724,0.1701976537320594,0.3004032075405121,0.2802419364452362,0,0,0
IMDB,44,local_reliability_vote,0.3031536042690277,0.2842741906642914,0.18000734852193684,0.3094758093357086,0.28931450843811035,0,0,0
IMDB,44,fixed_ring,0.30010172724723816,0.28830644488334656,0.17949292432807437,0.3094758093357086,0.28629031777381897,0,739800,15
IMDB,44,random_regular,0.3021363317966461,0.2842741906642914,0.17768317264472716,0.3084677457809448,0.28729838132858276,0,739800,15
IMDB,44,expander,0.30111902952194214,0.28629031777381897,0.17865640865445953,0.3104838728904724,0.28830644488334656,0,739800,15
IMDB,44,full_mesh,0.3031536042690277,0.28830644488334656,0.1802823086194292,0.3094758093357086,0.28729838132858276,0,5178600,105
IMDB,44,adaptive_pair,0.3031536042690277,0.29032257199287415,0.1852745092100105,0.3094758093357086,0.28830644488334656,0,739800,15
IMDB,44,adaptive_complementarity,0.30010172724723816,0.28629031777381897,0.17978253798314953,0.3084677457809448,0.28629031777381897,0,739800,15
IMDB,44,adaptive_graph_val,0.3397761881351471,0.30745968222618103,0.20549228792710234,0.3326612710952759,0.2993951439857483,0,246600,5
