dataset,setting,seed,method,party_ids,average_gate_weight_by_party,gate_entropy,dominant_gate_fraction_ge_0_8,max_average_gate_party,selected_party_reliabilities
ACM,hard,42,Gated Fusion,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[0.06931416690349579, 0.06917200237512589, 0.06706827133893967, 0.06584472954273224, 0.07325341552495956, 0.07093920558691025, 0.05968668311834335, 0.06491763889789581, 0.07052648812532425, 0.07307104021310806, 0.06803960353136063, 0.05933419242501259, 0.06998950988054276, 0.05783863365650177, 0.0610043965280056]",2.7044193744659424,0.0,4,"[0.8145695328712463, 0.6804635524749756, 0.7549669146537781, 0.32781457901000977, 0.3079470098018646, 0.35430464148521423, 0.32615894079208374, 0.3360927104949951, 0.3410595953464508, 0.3625827729701996, 0.3509933650493622, 0.3526490032672882, 0.306291401386261, 0.33112582564353943, 0.31622517108917236]"
ACM,hard,42,Reliability-Selected Gated Fusion,"[0, 2, 1, 9, 5]","[0.21522295475006104, 0.18530425429344177, 0.1952008754014969, 0.21745990216732025, 0.1868119239807129]",1.6065515279769895,0.0,9,"[0.8145695328712463, 0.7549669146537781, 0.6804635524749756, 0.3625827729701996, 0.35430464148521423]"
ACM,hard,43,Gated Fusion,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[0.06001576781272888, 0.06447310745716095, 0.05482570081949234, 0.06641113013029099, 0.06925003975629807, 0.06155357137322426, 0.07739730924367905, 0.07512622326612473, 0.06770046055316925, 0.061802104115486145, 0.058154962956905365, 0.07994064688682556, 0.06317000091075897, 0.08224091678857803, 0.05793805047869682]",2.699362277984619,0.0,13,"[0.8675496578216553, 0.6804635524749756, 0.7715231776237488, 0.3625827729701996, 0.306291401386261, 0.35596027970314026, 0.33112582564353943, 0.3294701874256134, 0.35430464148521423, 0.32781457901000977, 0.3079470098018646, 0.35596027970314026, 0.30463576316833496, 0.3245033025741577, 0.3228476941585541]"
ACM,hard,43,Reliability-Selected Gated Fusion,"[0, 2, 1, 3, 5]","[0.21745897829532623, 0.17688830196857452, 0.18622562289237976, 0.2328093945980072, 0.18661770224571228]",1.6030689477920532,0.0,3,"[0.8675496578216553, 0.7715231776237488, 0.6804635524749756, 0.3625827729701996, 0.35596027970314026]"
ACM,hard,44,Gated Fusion,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[0.07312985509634018, 0.05445629358291626, 0.07030893117189407, 0.08381899446249008, 0.08733347803354263, 0.07233832031488419, 0.0590788796544075, 0.055636826902627945, 0.05730431526899338, 0.07044211030006409, 0.07769045233726501, 0.057280298322439194, 0.05677944794297218, 0.06265554577112198, 0.06174623966217041]",2.694117307662964,0.0,4,"[0.8228476643562317, 0.695364236831665, 0.751655638217926, 0.33278146386146545, 0.35596027970314026, 0.3360927104949951, 0.36589404940605164, 0.3526490032672882, 0.33112582564353943, 0.3228476941585541, 0.33278146386146545, 0.33112582564353943, 0.30960264801979065, 0.3576158881187439, 0.33278146386146545]"
ACM,hard,44,Reliability-Selected Gated Fusion,"[0, 2, 1, 6, 13]","[0.20694412291049957, 0.20490379631519318, 0.20341968536376953, 0.19006133079528809, 0.19467103481292725]",1.6085247993469238,0.0,0,"[0.8228476643562317, 0.751655638217926, 0.695364236831665, 0.36589404940605164, 0.3576158881187439]"
ACM,hard,45,Gated Fusion,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[0.06019539758563042, 0.06731246411800385, 0.07727184891700745, 0.06614020466804504, 0.06794451922178268, 0.07012717425823212, 0.06289838999509811, 0.0688835009932518, 0.05699419975280762, 0.06327745318412781, 0.06392990797758102, 0.06363462656736374, 0.07008885592222214, 0.0668148547410965, 0.07448659092187881]",2.704251289367676,0.0,2,"[0.8261589407920837, 0.7069536447525024, 0.7566224932670593, 0.3592715263366699, 0.3178808093070984, 0.3410595953464508, 0.33940398693084717, 0.3410595953464508, 0.34437087178230286, 0.31622517108917236, 0.3079470098018646, 0.32119205594062805, 0.3460264801979065, 0.32615894079208374, 0.3178808093070984]"
ACM,hard,45,Reliability-Selected Gated Fusion,"[0, 2, 1, 3, 12]","[0.1915370523929596, 0.1938561350107193, 0.20249351859092712, 0.21144576370716095, 0.20066748559474945]",1.607709884643555,0.0,3,"[0.8261589407920837, 0.7566224932670593, 0.7069536447525024, 0.3592715263366699, 0.3460264801979065]"
ACM,hard,46,Gated Fusion,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[0.06481488049030304, 0.057901304215192795, 0.049133945256471634, 0.0661545842885971, 0.06274054199457169, 0.07081657648086548, 0.0827995017170906, 0.059471990913152695, 0.06273270398378372, 0.07703202962875366, 0.06201652064919472, 0.07028499245643616, 0.06882976740598679, 0.07235869765281677, 0.07291196286678314]",2.6971118450164795,0.0,6,"[0.8344370722770691, 0.695364236831665, 0.7897350788116455, 0.31622517108917236, 0.3360927104949951, 0.3526490032672882, 0.3245033025741577, 0.306291401386261, 0.32781457901000977, 0.3807947039604187, 0.33112582564353943, 0.32119205594062805, 0.3344370722770691, 0.3476821184158325, 0.3178808093070984]"
ACM,hard,46,Reliability-Selected Gated Fusion,"[0, 2, 1, 9, 5]","[0.22906674444675446, 0.16669060289859772, 0.17988155782222748, 0.22916170954704285, 0.1951993852853775]",1.6000068187713623,0.0,9,"[0.8344370722770691, 0.7897350788116455, 0.695364236831665, 0.3807947039604187, 0.3526490032672882]"
