dataset,setting,seed,method,selected_parties,selected_useful_count,selected_weak_count,selected_topology_links,diagnostic_only
ACM,hard,42,TA-DVFG,[],,,"[[0,1],[0,2],[1,13],[2,13],[4,10]]",False
ACM,hard,42,Project-and-Mean,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,42,Project-and-Concat,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,42,Gated Fusion,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,42,Reliability-Selected Project-and-Mean,"[0, 2, 1, 9, 5]",3,2,,False
ACM,hard,42,Reliability-Selected Gated Fusion,"[0, 2, 1, 9, 5]",3,2,,False
ACM,hard,42,Useful-Only best latent fusion,"[0, 1, 2]",3,0,,True
ACM,hard,43,TA-DVFG,[],,,"[[0,2],[0,4],[1,2],[1,4],[6,9]]",False
ACM,hard,43,Project-and-Mean,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,43,Project-and-Concat,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,43,Gated Fusion,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,43,Reliability-Selected Project-and-Mean,"[0, 2, 1, 3, 5]",3,2,,False
ACM,hard,43,Reliability-Selected Gated Fusion,"[0, 2, 1, 3, 5]",3,2,,False
ACM,hard,43,Useful-Only best latent fusion,"[0, 1, 2]",3,0,,True
ACM,hard,44,TA-DVFG,[],,,"[[0,1],[0,2],[1,2],[3,6],[3,14]]",False
ACM,hard,44,Project-and-Mean,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,44,Project-and-Concat,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,44,Gated Fusion,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,44,Reliability-Selected Project-and-Mean,"[0, 2, 1, 6, 13]",3,2,,False
ACM,hard,44,Reliability-Selected Gated Fusion,"[0, 2, 1, 6, 13]",3,2,,False
ACM,hard,44,Useful-Only best latent fusion,"[0, 1, 2]",3,0,,True
ACM,hard,45,TA-DVFG,[],,,"[[0,2],[0,12],[1,2],[1,3],[3,4]]",False
ACM,hard,45,Project-and-Mean,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,45,Project-and-Concat,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,45,Gated Fusion,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,45,Reliability-Selected Project-and-Mean,"[0, 2, 1, 3, 12]",3,2,,False
ACM,hard,45,Reliability-Selected Gated Fusion,"[0, 2, 1, 3, 12]",3,2,,False
ACM,hard,45,Useful-Only best latent fusion,"[0, 1, 2]",3,0,,True
ACM,hard,46,TA-DVFG,[],,,"[[0,1],[0,2],[1,2],[9,10],[9,13]]",False
ACM,hard,46,Project-and-Mean,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,46,Project-and-Concat,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,46,Gated Fusion,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,12,,False
ACM,hard,46,Reliability-Selected Project-and-Mean,"[0, 2, 1, 9, 5]",3,2,,False
ACM,hard,46,Reliability-Selected Gated Fusion,"[0, 2, 1, 9, 5]",3,2,,False
ACM,hard,46,Useful-Only best latent fusion,"[0, 1, 2]",3,0,,True
