dataset,setting,method,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,per_seed_test_at_best_val,seeds
ACM,hard,Best Single,0.8280065894126892,0.01646128440296201,0.8290383958120546,0.016028464346574522,"{""42"": 0.8187808990478516, ""43"": 0.8023064136505127, ""44"": 0.828665554523468, ""45"": 0.8484349250793457, ""46"": 0.8418451547622681}","42,43,44,45,46"
ACM,hard,Global Top-k Reliability,0.8619439721107482,0.009458122961179077,0.8618637611966251,0.009656154087598644,"{""42"": 0.8665568232536316, ""43"": 0.8517298102378845, ""44"": 0.8550246953964233, ""45"": 0.8583195805549622, ""46"": 0.8780889511108398}","42,43,44,45,46"
ACM,hard,Full Mesh prediction consensus,0.778253710269928,0.020058285272359082,0.778061931070572,0.020093786304406724,"{""42"": 0.7660626173019409, ""43"": 0.782537043094635, ""44"": 0.747940719127655, ""45"": 0.7874794006347656, ""46"": 0.8072487711906433}","42,43,44,45,46"
ACM,hard,TA-DVFG,0.8560131907463073,0.011630556657184795,0.8564053326614888,0.01182398083785888,"{""42"": 0.8451400399208069, ""43"": 0.8451400399208069, ""44"": 0.8533772826194763, ""45"": 0.859967052936554, ""46"": 0.8764415383338928}","42,43,44,45,46"
ACM,hard,Project-and-Mean,0.5940691947937011,0.015084707583199573,0.5963489078927995,0.015173546208951382,"{""42"": 0.5864909291267395, ""43"": 0.6161449551582336, ""44"": 0.5799011588096619, ""45"": 0.5799011588096619, ""46"": 0.607907772064209}","42,43,44,45,46"
ACM,hard,Reliability-Selected Project-and-Mean,0.7710049510002136,0.00931937838017109,0.7724525597539208,0.009245253578629238,"{""42"": 0.7726523876190186, ""43"": 0.7627677321434021, ""44"": 0.7858319878578186, ""45"": 0.7594727873802185, ""46"": 0.7742998600006104}","42,43,44,45,46"
ACM,hard,Reliability-Selected Gated Fusion,0.5614497661590576,0.019503992808140278,0.5067942225130705,0.047940872444717286,"{""42"": 0.5848435163497925, ""43"": 0.5485996603965759, ""44"": 0.5502471327781677, ""45"": 0.5387150049209595, ""46"": 0.5848435163497925}","42,43,44,45,46"
ACM,hard,Useful-Only best latent fusion,0.8892916083335877,0.009400570321233665,0.8903863730845186,0.009231617074198938,"{""42"": 0.8879736661911011, ""43"": 0.8731465935707092, ""44"": 0.8879736661911011, ""45"": 0.8995057940483093, ""46"": 0.8978583216667175}","42,43,44,45,46"
ACM,hard,Project-and-Concat,0.4227347671985626,0.01609446185604426,0.40478797068668443,0.03321782680181753,"{""42"": 0.4168039560317993, ""43"": 0.4118616282939911, ""44"": 0.4019769430160522, ""45"": 0.4431630969047546, ""46"": 0.4398682117462158}","42,43,44,45,46"
ACM,hard,Gated Fusion,0.42767709493637085,0.03024489705638302,0.38965905152813163,0.030436057560223138,"{""42"": 0.3953871428966522, ""43"": 0.4085667133331299, ""44"": 0.4464579820632934, ""45"": 0.4777594804763794, ""46"": 0.4102141559123993}","42,43,44,45,46"
