dataset,setting,seed,method,interface_type,d_ref,selected_by,best_val,test_at_best_val,macro_f1,best_epoch,first_loss,best_loss,param_count,source
ACM,hard,42,Best Single,fresh prediction-space within-suite reference,N/A,fresh_final_predictor_cache,0.8195364475250244,0.8187808990478516,0.8197571174315361,fresh_final,N/A,N/A,0,outputs\alignment_references_acmhard5\fresh_within_suite_cache\acm_hard_seed42_fresh_final.pt
ACM,hard,42,Global Top-k Reliability,fresh prediction-space within-suite reference,N/A,fresh_final_predictor_cache,0.862582802772522,0.8665568232536316,0.8662241258709447,fresh_final,N/A,N/A,0,outputs\alignment_references_acmhard5\fresh_within_suite_cache\acm_hard_seed42_fresh_final.pt
ACM,hard,42,Full Mesh prediction consensus,fresh prediction-space within-suite reference,N/A,fresh_final_predictor_cache,0.7649006843566895,0.7660626173019409,0.7640099681851616,fresh_final,N/A,N/A,0,outputs\alignment_references_acmhard5\fresh_within_suite_cache\acm_hard_seed42_fresh_final.pt
ACM,hard,42,TA-DVFG,fresh prediction-space within-suite reference,N/A,fresh_final_predictor_cache,0.8774834275245667,0.8451400399208069,0.845478247274085,fresh_final,N/A,N/A,0,outputs\alignment_references_acmhard5\fresh_within_suite_cache\acm_hard_seed42_fresh_final.pt
ACM,hard,42,Project-and-Mean,centralized stronger-information latent-alignment reference,32,validation_accuracy,0.6142383813858032,0.5864909291267395,0.5879757597206362,157,1.0699071884155273,0.01278706081211567,32259,fresh_hidden_export
ACM,hard,42,Project-and-Concat,centralized stronger-information latent-alignment reference,64,validation_accuracy,0.4668874144554138,0.4168039560317993,0.40513750281949124,11,1.0942083597183228,0.9023498296737671,124099,fresh_hidden_export
ACM,hard,42,Gated Fusion,centralized stronger-information latent-alignment reference,128,validation_accuracy,0.4503311216831207,0.3953871428966522,0.34282933562454865,3,1.101763129234314,1.0638482570648193,127122,fresh_hidden_export
ACM,hard,42,Reliability-Selected Project-and-Mean,centralized stronger-information latent-alignment reference,32,validation_accuracy,0.7649006843566895,0.7726523876190186,0.7748411591409332,64,1.0929112434387207,0.09607096761465073,10819,fresh_hidden_export
ACM,hard,42,Reliability-Selected Gated Fusion,centralized stronger-information latent-alignment reference,32,validation_accuracy,0.5728476643562317,0.5848435163497925,0.5426240413714836,10,1.1022707223892212,1.0603073835372925,10664,fresh_hidden_export
ACM,hard,42,Useful-Only best latent fusion,diagnostic oracle: known useful parties only,32,validation_accuracy_over_oracle_candidates,0.8807947039604187,0.8879736661911011,0.8896296902948878,128,1.1180824041366577,0.23995083570480347,6531,fresh_hidden_export_known_useful_only
