dataset,setting,seed,method,d_ref,lr,weight_decay,val_acc,test_acc,macro_f1,best_epoch,first_loss,best_loss,param_count,party_ids,role,selected
ACM,hard,42,Project-and-Mean,32,0.001,0.0,0.5629138946533203,0.5469522476196289,0.5488483949243442,197,1.1339035034179688,0.011853732168674469,32259,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,0.6142383813858032,0.5864909291267395,0.5879757597206362,157,1.0699071884155273,0.01278706081211567,32259,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,True
ACM,hard,42,Project-and-Mean,32,0.0003,0.0,0.5695364475250244,0.5469522476196289,0.5488304093567251,197,1.1040483713150024,0.05843975767493248,32259,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Project-and-Mean,32,0.0003,0.0001,0.6043046116828918,0.5897858142852783,0.5926496734292817,199,1.0801506042480469,0.046044789254665375,32259,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Project-and-Mean,64,0.001,0.0,0.5496688485145569,0.5403624176979065,0.5445092015300744,166,1.1041326522827148,0.003967832773923874,64515,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Project-and-Mean,64,0.001,0.0001,0.5811258554458618,0.5848435163497925,0.5872259599104415,176,1.156857967376709,0.004394694231450558,64515,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Project-and-Mean,64,0.0003,0.0,0.5827814340591431,0.5897858142852783,0.5925590100397299,187,1.080873727798462,0.021062755957245827,64515,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Project-and-Mean,64,0.0003,0.0001,0.5612582564353943,0.5518945455551147,0.5552524137845875,187,1.1008161306381226,0.020963065326213837,64515,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Project-and-Mean,128,0.001,0.0,0.556291401386261,0.5354201197624207,0.5373816338695505,171,1.07500422000885,0.0011660328600555658,129027,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Project-and-Mean,128,0.001,0.0001,0.559602677822113,0.5502471327781677,0.5512192166917497,178,1.081879734992981,0.001661193324252963,129027,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
