dataset,setting,method,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,seeds
ACM,hard,Best Single,0.8280065894126892,0.01646128440296201,0.8290383958120546,0.016028464346574522,"42,43,44,45,46"
ACM,hard,Full Mesh prediction consensus,0.778253710269928,0.020058285272359082,0.778061931070572,0.020093786304406724,"42,43,44,45,46"
ACM,hard,Gated Fusion,0.42767709493637085,0.030244897056383023,0.3896590515281316,0.030436057560223138,"42,43,44,45,46"
ACM,hard,Global Top-k Reliability,0.8619439721107482,0.009458122961179077,0.8618637611966251,0.009656154087598644,"42,43,44,45,46"
ACM,hard,Project-and-Concat,0.4227347671985626,0.01609446185604426,0.40478797068668443,0.03321782680181751,"42,43,44,45,46"
ACM,hard,Project-and-Mean,0.5940691947937011,0.015084707583199573,0.5963489078927995,0.015173546208951382,"42,43,44,45,46"
ACM,hard,Reliability-Selected Gated Fusion,0.5614497661590576,0.019503992808140278,0.5067942225130705,0.047940872444717286,"42,43,44,45,46"
ACM,hard,Reliability-Selected Project-and-Mean,0.7710049510002136,0.00931937838017109,0.7724525597539208,0.009245253578629238,"42,43,44,45,46"
ACM,hard,TA-DVFG,0.8560131907463073,0.011630556657184795,0.8564053326614889,0.01182398083785888,"42,43,44,45,46"
ACM,hard,Useful-Only best latent fusion,0.8892916083335877,0.009400570321233665,0.8903863730845186,0.009231617074198938,"42,43,44,45,46"
