dataset,setting,seed,method,d_ref,lr,weight_decay,epoch,train_loss,val_metric,selected_run
ACM,hard,42,Project-and-Mean,32,0.001,0.0,0,1.1339035034179688,0.3923841118812561,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,1,1.0738977193832397,0.41225165128707886,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,2,1.0170724391937256,0.42880794405937195,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,3,0.9633411765098572,0.43543046712875366,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,4,0.9125367999076843,0.4503311216831207,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,5,0.8645004034042358,0.4536423981189728,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,6,0.8189544677734375,0.45695364475250244,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,7,0.7756081223487854,0.4652317762374878,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,8,0.7341732382774353,0.4834437072277069,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,9,0.6944485306739807,0.4817880690097809,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,10,0.6562907695770264,0.47350993752479553,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,11,0.6196362376213074,0.4784768223762512,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,12,0.5844172239303589,0.4718542993068695,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,13,0.5506279468536377,0.47350993752479553,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,14,0.5183551907539368,0.48013246059417725,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,15,0.4876728057861328,0.4867549538612366,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,16,0.4586322009563446,0.4817880690097809,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,17,0.43123868107795715,0.48013246059417725,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,18,0.4055109918117523,0.4900662302970886,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,19,0.3814539909362793,0.4900662302970886,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,20,0.3590250015258789,0.48509934544563293,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,21,0.338153600692749,0.4900662302970886,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,22,0.3187302052974701,0.49668875336647034,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,23,0.30070844292640686,0.49668875336647034,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,24,0.283987820148468,0.498344361782074,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,25,0.2684510350227356,0.5,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,26,0.25398290157318115,0.503311276435852,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,27,0.24049746990203857,0.501655638217926,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,28,0.227936789393425,0.503311276435852,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,29,0.2162625640630722,0.498344361782074,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,30,0.20543372631072998,0.501655638217926,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,31,0.19540707767009735,0.5049669146537781,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,32,0.18614701926708221,0.5099337697029114,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,33,0.1775856912136078,0.5115894079208374,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,34,0.16967014968395233,0.5099337697029114,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,35,0.16233353316783905,0.5099337697029114,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,36,0.15552584826946259,0.5099337697029114,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,37,0.14920736849308014,0.5115894079208374,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,38,0.14333748817443848,0.5149006843566895,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,39,0.13787110149860382,0.5198675394058228,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,40,0.132762148976326,0.5248344540596008,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,41,0.12795528769493103,0.5264900922775269,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,42,0.12340115755796432,0.5248344540596008,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,43,0.11908335983753204,0.5264900922775269,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,44,0.11498542875051498,0.5281456708908081,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,45,0.11109920591115952,0.5314569473266602,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,46,0.10741772502660751,0.5331125855445862,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,47,0.1039387434720993,0.5264900922775269,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,48,0.10065975785255432,0.5281456708908081,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,49,0.09757314622402191,0.5281456708908081,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,50,0.09466207772493362,0.5298013091087341,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,51,0.09191679209470749,0.5314569473266602,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,52,0.08931923657655716,0.5314569473266602,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,53,0.08685731142759323,0.5331125855445862,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,54,0.08451883494853973,0.5314569473266602,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,55,0.08229890465736389,0.5331125855445862,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,56,0.08018895238637924,0.5364238619804382,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,57,0.07817663997411728,0.5380794405937195,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,58,0.07625216245651245,0.5380794405937195,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,59,0.07440472394227982,0.5380794405937195,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,60,0.07262604683637619,0.5380794405937195,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,61,0.07091236114501953,0.5397350788116455,False
