dataset,setting,seed,party,max_logit_diff,max_probability_diff,val_prediction_disagreement_count,test_prediction_disagreement_count,val_metric_diff,test_metric_diff,status
ACM,hard,42,0,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9997244477272034,406,380,0.46854305267333984,0.44316309690475464,MISMATCH
ACM,hard,42,1,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.996837317943573,412,406,0.34768208861351013,0.3509060740470886,MISMATCH
ACM,hard,42,2,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9523687362670898,253,262,0.05960267782211304,0.08401978015899658,MISMATCH
ACM,hard,42,3,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999606013298035,421,409,0.003311246633529663,0.016474485397338867,MISMATCH
ACM,hard,42,4,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9998694658279419,401,407,0.044701993465423584,0.006589770317077637,MISMATCH
ACM,hard,42,5,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999344348907471,393,379,0.0049668848514556885,0.06260296702384949,MISMATCH
ACM,hard,42,6,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9992753267288208,407,397,0.4503311514854431,0.4200988709926605,MISMATCH
ACM,hard,42,7,UNAVAILABLE_CACHE_HAS_NO_LOGITS,1.0,383,424,0.009933769702911377,0.023064255714416504,MISMATCH
ACM,hard,42,8,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9996730089187622,421,388,0.46854308247566223,0.44151565432548523,MISMATCH
ACM,hard,42,9,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.999830424785614,393,419,0.0033112764358520508,0.009884685277938843,MISMATCH
ACM,hard,42,10,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999657869338989,410,418,0.0049668848514556885,0.01647445559501648,MISMATCH
ACM,hard,42,11,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999967813491821,389,415,0.01655629277229309,0.06095552444458008,MISMATCH
ACM,hard,42,12,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999942779541016,398,405,0.028145670890808105,0.024711698293685913,MISMATCH
ACM,hard,42,13,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999935626983643,391,406,0.006622523069381714,0.013179570436477661,MISMATCH
ACM,hard,42,14,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.999998152256012,420,404,0.01324501633644104,0.01647445559501648,MISMATCH
ACM,hard,43,0,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999959468841553,387,383,0.5149006545543671,0.4316309690475464,MISMATCH
ACM,hard,43,1,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9971868395805359,427,406,0.3791390359401703,0.34102141857147217,MISMATCH
ACM,hard,43,2,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9988019466400146,402,401,0.4271523058414459,0.40362435579299927,MISMATCH
ACM,hard,43,3,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999937415122986,393,392,0.019867539405822754,0.023064255714416504,MISMATCH
ACM,hard,43,4,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999973773956299,400,401,0.05132448673248291,0.0016474425792694092,MISMATCH
ACM,hard,43,5,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9998810291290283,437,414,0.013245046138763428,0.018121927976608276,MISMATCH
ACM,hard,43,6,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999940991401672,397,395,0.0,0.01812189817428589,MISMATCH
ACM,hard,43,7,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9916731715202332,383,389,0.3526490032672882,0.31466227769851685,MISMATCH
ACM,hard,43,8,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999642968177795,401,403,0.02980133891105652,0.04118615388870239,MISMATCH
