dataset,setting,seed,party,max_logit_diff,max_probability_diff,val_metric_diff,test_metric_diff,status
ACM,hard,42,0,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,1,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,2,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,3,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,4,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,5,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,6,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,7,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,8,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,9,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,10,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,11,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,12,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,13,0.0,0.0,0.0,0.0,PASS
ACM,hard,42,14,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,0,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,1,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,2,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,3,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,4,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,5,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,6,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,7,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,8,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,9,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,10,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,11,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,12,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,13,0.0,0.0,0.0,0.0,PASS
ACM,hard,43,14,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,0,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,1,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,2,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,3,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,4,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,5,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,6,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,7,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,8,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,9,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,10,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,11,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,12,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,13,0.0,0.0,0.0,0.0,PASS
ACM,hard,44,14,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,0,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,1,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,2,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,3,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,4,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,5,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,6,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,7,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,8,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,9,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,10,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,11,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,12,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,13,0.0,0.0,0.0,0.0,PASS
ACM,hard,45,14,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,0,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,1,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,2,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,3,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,4,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,5,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,6,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,7,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,8,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,9,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,10,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,11,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,12,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,13,0.0,0.0,0.0,0.0,PASS
ACM,hard,46,14,0.0,0.0,0.0,0.0,PASS
