dataset,setting,seed,empty_val_score,first_best_edge,first_edge_gain
ACM,Hard,42,0.7913907170295715,"[6, 8]",0.048013269901275635
ACM,Hard,43,0.8576158881187439,"[7, 12]",0.06788080930709839
ACM,Hard,44,0.7135761380195618,"[10, 11]",0.14072847366333008
ACM,Hard,45,0.6804635524749756,"[4, 8]",0.1821192502975464
ACM,Hard,46,0.7913907170295715,"[2, 8]",0.08774834871292114
DBLP,Hard,42,0.86543208360672,"[2, 8]",0.0407407283782959
DBLP,Hard,43,0.8814814686775208,"[7, 10]",0.03703707456588745
DBLP,Hard,44,0.8481481671333313,"[5, 11]",0.03580242395401001
DBLP,Hard,45,0.8802469372749329,"[5, 8]",0.02839505672454834
DBLP,Hard,46,0.8703703880310059,"[2, 4]",0.03209877014160156
