dataset,setting,seed,adaptive_min_edges,test_at_best_val,final_edges,selected_edges,topology_update_time,edge_budget,min_edges,empty_val_score,first_best_edge,first_edge_gain,final_topology_val_score,trace_eval_count,trace_final_edges,trace_selected_edges,stopping_reason
ACM,Hard,42,0,0.8813838362693787,3,"[[1,2],[2,6],[6,8]]",11.259751499921547,15,0,0.7913907170295715,"[6, 8]",0.048013269901275635,0.8791390657424927,378,3,"[[6, 8], [2, 6], [1, 2]]",threshold not met
ACM,Hard,43,0,0.9011532068252563,3,"[[7,12],[9,11],[11,12]]",10.659467300021788,15,0,0.8576158881187439,"[7, 12]",0.06788080930709839,0.940397322177887,378,3,"[[7, 12], [11, 12], [9, 11]]",threshold not met
ACM,Hard,44,0,0.8731465935707092,2,"[[5,10],[10,11]]",10.29672680000658,15,0,0.7135761380195618,"[10, 11]",0.14072847366333008,0.8675496578216553,300,2,"[[10, 11], [5, 10]]",threshold not met
ACM,Hard,45,0,0.8682042360305786,2,"[[4,8],[4,11]]",13.338632999977564,15,0,0.6804635524749756,"[4, 8]",0.1821192502975464,0.8658940196037292,300,2,"[[4, 8], [4, 11]]",threshold not met
ACM,Hard,46,0,0.8978583216667175,3,"[[1,4],[2,8],[4,8]]",22.735696999996435,15,0,0.7913907170295715,"[2, 8]",0.08774834871292114,0.9089403748512268,390,3,"[[2, 8], [1, 4], [4, 8]]",threshold not met
ACM,Hard,42,1,0.8813838362693787,3,"[[1,2],[2,6],[6,8]]",31.29344679985661,15,1,0.7913907170295715,"[6, 8]",0.048013269901275635,0.8791390657424927,378,3,"[[6, 8], [2, 6], [1, 2]]",threshold not met
ACM,Hard,43,1,0.9011532068252563,3,"[[7,12],[9,11],[11,12]]",26.73723499994957,15,1,0.8576158881187439,"[7, 12]",0.06788080930709839,0.940397322177887,378,3,"[[7, 12], [11, 12], [9, 11]]",threshold not met
ACM,Hard,44,1,0.8731465935707092,2,"[[5,10],[10,11]]",24.98121379999793,15,1,0.7135761380195618,"[10, 11]",0.14072847366333008,0.8675496578216553,300,2,"[[10, 11], [5, 10]]",threshold not met
ACM,Hard,45,1,0.8682042360305786,2,"[[4,8],[4,11]]",27.34562639999785,15,1,0.6804635524749756,"[4, 8]",0.1821192502975464,0.8658940196037292,300,2,"[[4, 8], [4, 11]]",threshold not met
ACM,Hard,46,1,0.8978583216667175,3,"[[1,4],[2,8],[4,8]]",29.302178500016453,15,1,0.7913907170295715,"[2, 8]",0.08774834871292114,0.9089403748512268,390,3,"[[2, 8], [1, 4], [4, 8]]",threshold not met
