dataset,setting,seed,method,adaptive_min_edges,best_val,test_at_best_val,macro_f1,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,peer_to_peer_comm,global_readout_comm,total_comm,protocol_type,label_protocol,training_protocol,validation_protocol,validation_evaluator,active_party_id,passive_label_access,local_training_labels,validation_label_protocol,topology_evaluator,local_training_protocol,validation_split_mode,topology_val_fraction,topology_val_count,selection_val_count,topology_objective,joint_lambda,active_readout_acc,local_post_consensus_mean_acc,active_party_post_consensus_acc,local_worst_acc,local_best_acc,dropout_protocol,dropout_rate,dropout_seed,remaining_parties,dropped_party_ids,test_acc_after_dropout,local_post_consensus_acc_after_dropout,num_edges,peer_comm,readout_comm,control_plane_comm,final_edges,topology_update_comm,topology_eval_count,topology_update_time,useful_useful_edges,useful_noisy_edges,noisy_noisy_edges,selected_edges,useful_party_mask,party_view_names,party_reliabilities,party_permutation,prediction_cache_path,prediction_cache_fingerprint,auc,f1,ndcg_at_10
MovieLens1M,main,42,single_party_best,5,0.6899451017379761,0.6910699009895325,0.6814351492832962,0.6814351492832962,0.6910699009895325,0.6910699009895325,0,0,0,0,0,local_reference,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6917997002601624,0.6397213220596314,0.6579768061637878,0.5600423812866211,0.6910699009895325,none,0.0,0,15,[],-1.0,-1.0,0,0,0,0,0,0,0,0.0,0,0,0,[],"[false, true, true, false, false, false, false, true, true, false, true, false, true, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6615110635757446, 0.6692494750022888, 0.685106098651886, 0.5670608878135681, 0.6549724340438843, 0.6545525193214417, 0.6255686283111572, 0.6379860043525696, 0.6899451017379761, 0.671688973903656, 0.6807570457458496, 0.5771787762641907, 0.6318373084068298, 0.5558332800865173, 0.6194599270820618]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_main15_leakage_safe_20260705\cache\movielens_main_n15_seed42.pt,8f5e551d0cb12a0a0913732540b34d28e575a20c243e18269733034def8696a4,0.7460092681211471,0.7368362780041818,0.8523628933934568
MovieLens1M,main,42,local_uniform_vote,5,0.6876755952835083,0.6910848617553711,0.6780036092534545,0.6780036092534545,0.6910848617553711,0.6910848617553711,0,0,0,6001260,6001260,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6917997002601624,0.6397213220596314,0.6579768061637878,0.5600423812866211,0.6910699009895325,none,0.0,0,15,[],-1.0,-1.0,0,0,6001260,0,0,0,0,0.0,0,0,0,[],"[false, true, true, false, false, false, false, true, true, false, true, false, true, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6615110635757446, 0.6692494750022888, 0.685106098651886, 0.5670608878135681, 0.6549724340438843, 0.6545525193214417, 0.6255686283111572, 0.6379860043525696, 0.6899451017379761, 0.671688973903656, 0.6807570457458496, 0.5771787762641907, 0.6318373084068298, 0.5558332800865173, 0.6194599270820618]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_main15_leakage_safe_20260705\cache\movielens_main_n15_seed42.pt,8f5e551d0cb12a0a0913732540b34d28e575a20c243e18269733034def8696a4,0.7475987126609749,0.7429044524508865,0.84875379541107
MovieLens1M,main,42,local_reliability_vote,5,0.6882354617118835,0.6917997002601624,0.6788127462438824,0.6788127462438824,0.6917997002601624,0.6917997002601624,0,0,0,6001260,6001260,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6917997002601624,0.6397213220596314,0.6579768061637878,0.5600423812866211,0.6910699009895325,none,0.0,0,15,[],-1.0,-1.0,0,0,6001260,0,0,0,0,0.0,0,0,0,[],"[false, true, true, false, false, false, false, true, true, false, true, false, true, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6615110635757446, 0.6692494750022888, 0.685106098651886, 0.5670608878135681, 0.6549724340438843, 0.6545525193214417, 0.6255686283111572, 0.6379860043525696, 0.6899451017379761, 0.671688973903656, 0.6807570457458496, 0.5771787762641907, 0.6318373084068298, 0.5558332800865173, 0.6194599270820618]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_main15_leakage_safe_20260705\cache\movielens_main_n15_seed42.pt,8f5e551d0cb12a0a0913732540b34d28e575a20c243e18269733034def8696a4,0.7484642408363684,0.7433979697586435,0.8498734673770832
MovieLens1M,main,42,adaptive_graph_val,5,0.6939742565155029,0.6951390504837036,0.6840496712560619,0.6840496712560619,0.6951390504837036,0.6951390504837036,0,4801008,4801008,2800588,7601596,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6951390504837036,0.6429306507110596,0.6696493625640869,0.5600423812866211,0.6920197010040283,none,0.0,0,15,[],-1.0,-1.0,6,4801008,2800588,3000630,6,3000630,568,14.737712400004966,4,1,1,"[[0,9],[1,2],[1,9],[2,8],[7,10],[8,10]]","[false, true, true, false, false, false, false, true, true, false, true, false, true, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6615110635757446, 0.6692494750022888, 0.685106098651886, 0.5670608878135681, 0.6549724340438843, 0.6545525193214417, 0.6255686283111572, 0.6379860043525696, 0.6899451017379761, 0.671688973903656, 0.6807570457458496, 0.5771787762641907, 0.6318373084068298, 0.5558332800865173, 0.6194599270820618]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_main15_leakage_safe_20260705\cache\movielens_main_n15_seed42.pt,8f5e551d0cb12a0a0913732540b34d28e575a20c243e18269733034def8696a4,0.7522598177490474,0.7432415933041147,0.8573058903102717
MovieLens1M,main,42,fixed_ring,5,0.6882754564285278,0.6918147206306458,0.6788653545978007,0.6788653545978007,0.6918147206306458,0.6918147206306458,0,12002520,12002520,6001260,18003780,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6918147206306458,0.6497155626614889,0.6676598191261292,0.5796932578086853,0.6915347576141357,none,0.0,0,15,[],-1.0,-1.0,15,12002520,6001260,0,15,0,0,0.0,2,8,5,"[[0,1],[0,14],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14]]","[false, true, true, false, false, false, false, true, true, false, true, false, true, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6615110635757446, 0.6692494750022888, 0.685106098651886, 0.5670608878135681, 0.6549724340438843, 0.6545525193214417, 0.6255686283111572, 0.6379860043525696, 0.6899451017379761, 0.671688973903656, 0.6807570457458496, 0.5771787762641907, 0.6318373084068298, 0.5558332800865173, 0.6194599270820618]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_main15_leakage_safe_20260705\cache\movielens_main_n15_seed42.pt,8f5e551d0cb12a0a0913732540b34d28e575a20c243e18269733034def8696a4,0.7484334551438603,0.7433517059930396,0.8498797460348712
MovieLens1M,main,42,random_matched,5,0.6734885573387146,0.6785575151443481,0.6634179609462078,0.6634179609462078,0.6785575151443481,0.6785575151443481,0,4000840,4000840,3600756,7601596,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6785575151443481,0.6440600792566935,0.6579768061637878,0.5641265511512756,0.6921046376228333,none,0.0,0,15,[],-1.0,-1.0,5,4000840,3600756,0,5,0,0,0.0,0,3,2,"[[4,8],[5,11],[5,13],[6,12],[7,14]]","[false, true, true, false, false, false, false, true, true, false, true, false, true, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6615110635757446, 0.6692494750022888, 0.685106098651886, 0.5670608878135681, 0.6549724340438843, 0.6545525193214417, 0.6255686283111572, 0.6379860043525696, 0.6899451017379761, 0.671688973903656, 0.6807570457458496, 0.5771787762641907, 0.6318373084068298, 0.5558332800865173, 0.6194599270820618]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_main15_leakage_safe_20260705\cache\movielens_main_n15_seed42.pt,8f5e551d0cb12a0a0913732540b34d28e575a20c243e18269733034def8696a4,0.7330054628024777,0.7348021182176616,0.835580627055118
MovieLens1M,main,42,full_mesh,5,0.6882554888725281,0.6918147206306458,0.6788303936249527,0.6788303936249527,0.6918147206306458,0.6918147206306458,0,84017640,84017640,6001260,90018900,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6918147206306458,0.650336762269338,0.6669449210166931,0.5819078087806702,0.691824734210968,none,0.0,0,15,[],-1.0,-1.0,105,84017640,6001260,0,105,0,0,0.0,15,54,36,"[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[0,7],[0,8],[0,9],[0,10],[0,11],[0,12],[0,13],[0,14],[1,2],[1,3],[1,4],[1,5],[1,6],[1,7],[1,8],[1,9],[1,10],[1,11],[1,12],[1,13],[1,14],[2,3],[2,4],[2,5],[2,6],[2,7],[2,8],[2,9],[2,10],[2,11],[2,12],[2,13],[2,14],[3,4],[3,5],[3,6],[3,7],[3,8],[3,9],[3,10],[3,11],[3,12],[3,13],[3,14],[4,5],[4,6],[4,7],[4,8],[4,9],[4,10],[4,11],[4,12],[4,13],[4,14],[5,6],[5,7],[5,8],[5,9],[5,10],[5,11],[5,12],[5,13],[5,14],[6,7],[6,8],[6,9],[6,10],[6,11],[6,12],[6,13],[6,14],[7,8],[7,9],[7,10],[7,11],[7,12],[7,13],[7,14],[8,9],[8,10],[8,11],[8,12],[8,13],[8,14],[9,10],[9,11],[9,12],[9,13],[9,14],[10,11],[10,12],[10,13],[10,14],[11,12],[11,13],[11,14],[12,13],[12,14],[13,14]]","[false, true, true, false, false, false, false, true, true, false, true, false, true, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6615110635757446, 0.6692494750022888, 0.685106098651886, 0.5670608878135681, 0.6549724340438843, 0.6545525193214417, 0.6255686283111572, 0.6379860043525696, 0.6899451017379761, 0.671688973903656, 0.6807570457458496, 0.5771787762641907, 0.6318373084068298, 0.5558332800865173, 0.6194599270820618]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_main15_leakage_safe_20260705\cache\movielens_main_n15_seed42.pt,8f5e551d0cb12a0a0913732540b34d28e575a20c243e18269733034def8696a4,0.7484551786757602,0.743407252022775,0.8498941735875596
MovieLens1M,main,42,adaptive_pair,5,0.6882254481315613,0.6918047070503235,0.6788199744974142,0.6788199744974142,0.6918047070503235,0.6918047070503235,0,12002520,12002520,6001260,18003780,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6918047070503235,0.6465299050013225,0.6693994402885437,0.5703602433204651,0.6920197010040283,none,0.0,0,15,[],-1.0,-1.0,15,12002520,6001260,3000630,15,3000630,0,0.7102237000071909,3,6,6,"[[0,1],[0,9],[1,9],[2,8],[2,10],[3,11],[3,13],[4,5],[4,7],[5,7],[6,12],[6,14],[8,10],[11,13],[12,14]]","[false, true, true, false, false, false, false, true, true, false, true, false, true, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6615110635757446, 0.6692494750022888, 0.685106098651886, 0.5670608878135681, 0.6549724340438843, 0.6545525193214417, 0.6255686283111572, 0.6379860043525696, 0.6899451017379761, 0.671688973903656, 0.6807570457458496, 0.5771787762641907, 0.6318373084068298, 0.5558332800865173, 0.6194599270820618]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_main15_leakage_safe_20260705\cache\movielens_main_n15_seed42.pt,8f5e551d0cb12a0a0913732540b34d28e575a20c243e18269733034def8696a4,0.7484625245442096,0.743398927846036,0.8498880187744966
MovieLens1M,main,42,adaptive_complementarity,5,0.6870856881141663,0.6909049153327942,0.6778876509582643,0.6778876509582643,0.6909049153327942,0.6909049153327942,0,11202352,11202352,5601176,16803528,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6909049153327942,0.6523643374443054,0.6684595942497253,0.5925405621528625,0.6911648511886597,none,0.0,0,15,[],-1.0,-1.0,14,11202352,5601176,3000630,14,3000630,0,0.8401134000014281,1,10,3,"[[0,7],[0,12],[1,6],[1,12],[2,3],[2,13],[3,8],[4,7],[4,14],[5,6],[5,14],[8,11],[10,11],[10,13]]","[false, true, true, false, false, false, false, true, true, false, true, false, true, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6615110635757446, 0.6692494750022888, 0.685106098651886, 0.5670608878135681, 0.6549724340438843, 0.6545525193214417, 0.6255686283111572, 0.6379860043525696, 0.6899451017379761, 0.671688973903656, 0.6807570457458496, 0.5771787762641907, 0.6318373084068298, 0.5558332800865173, 0.6194599270820618]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_main15_leakage_safe_20260705\cache\movielens_main_n15_seed42.pt,8f5e551d0cb12a0a0913732540b34d28e575a20c243e18269733034def8696a4,0.7468358137436808,0.7426411827384123,0.8480090049658844
MovieLens1M,main,42,expander_matched,5,0.6718289256095886,0.6748582720756531,0.6615482575756992,0.6615482575756992,0.6748582720756531,0.6748582720756531,0,4000840,4000840,2400504,6401344,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6748582720756531,0.6443753560384115,0.6676598191261292,0.5641265511512756,0.6910699009895325,none,0.0,0,15,[],-1.0,-1.0,5,4000840,2400504,0,5,0,0,0.0,0,3,2,"[[0,1],[0,14],[11,12],[12,13],[13,14]]","[false, true, true, false, false, false, false, true, true, false, true, false, true, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6615110635757446, 0.6692494750022888, 0.685106098651886, 0.5670608878135681, 0.6549724340438843, 0.6545525193214417, 0.6255686283111572, 0.6379860043525696, 0.6899451017379761, 0.671688973903656, 0.6807570457458496, 0.5771787762641907, 0.6318373084068298, 0.5558332800865173, 0.6194599270820618]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_main15_leakage_safe_20260705\cache\movielens_main_n15_seed42.pt,8f5e551d0cb12a0a0913732540b34d28e575a20c243e18269733034def8696a4,0.7267203011643172,0.7286660659458015,0.8251488185343837
