setting,method,auc_mean,auc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,ndcg_at_10_mean,selected_links_mean,peer_comm_mean,readout_comm_mean,total_comm_mean,topology_eval_count_mean,topology_update_time_mean,useful_useful_edges_mean,useful_noisy_edges_mean,noisy_noisy_edges_mean
hard,adaptive_complementarity,0.7432798881047653,0.0024616945691253926,0.687484622001648,0.0035710560737935494,0.738918341250226,0.011895624498484426,0.8414265808652168,14.4,11522419.2,5761209.6,17283628.8,0.0,0.7573603600030765,0.0,6.0,8.4
hard,adaptive_graph_val,0.7498306971043321,0.000539162492272163,0.6938832879066468,0.0005090389252213725,0.7422953695474845,0.0037423978925969627,0.8487808842314696,5.0,4000840.0,2400504.0,6401344.0,496.0,10.712517320000916,0.8,3.0,1.2
hard,adaptive_pair,0.7439886592285074,0.002914888696921889,0.688061511516571,0.004551719121225447,0.7384019717171509,0.013071335469293833,0.8424509455811797,14.2,11362385.6,5761209.6,17123595.2,0.0,0.7527238799986662,1.0,4.0,9.2
hard,expander_matched,0.7301340895002072,0.008189631246955294,0.6769508361816406,0.006699731188362866,0.7278823808658108,0.013249062077909496,0.8285836744929022,5.0,4000840.0,2400504.0,6401344.0,0.0,0.0,0.0,2.0,3.0
hard,fixed_ring,0.7434022018020763,0.0028460112801226506,0.6875735998153687,0.004482273822988843,0.7381230344128713,0.013163784233421478,0.8419566186870234,15.0,12002520.0,6001260.0,18003780.0,0.0,0.0,0.2,5.6,9.2
hard,full_mesh,0.74348495156055,0.002834450998732047,0.6876635789871216,0.0044613545171264595,0.7382162275245789,0.013093886361224388,0.8420362204696928,105.0,84017640.0,6001260.0,90018900.0,0.0,0.0,3.0,36.0,66.0
hard,local_reliability_vote,0.7434974030556847,0.0028349213791786614,0.6876785755157471,0.004474323211529869,0.7382244309719329,0.013104321193476664,0.8420415243849394,0.0,0.0,6001260.0,6001260.0,0.0,0.0,0.0,0.0,0.0
hard,local_uniform_vote,0.742351940820035,0.00281238910545347,0.6866858005523682,0.004343192668232241,0.7376465396588043,0.013131714659104888,0.8405967316498645,0.0,0.0,6001260.0,6001260.0,0.0,0.0,0.0,0.0,0.0
hard,random_matched,0.7426039036511998,0.005280681647626483,0.687407648563385,0.0046964626861712485,0.7398936606738283,0.010383078937714159,0.8399800486730223,5.0,4000840.0,3200672.0,7201512.0,0.0,0.0,0.6,1.4,3.0
hard,single_party_best,0.7402133743831477,0.004525805995335974,0.6857439875602722,0.004544573168744879,0.7326661354542843,0.010631609128116561,0.8437725049862044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard,topk_reliability_vote,0.7472580553256385,0.002483914668994296,0.6900770902633667,0.004657980975342642,0.7350648981917715,0.011469597965817238,0.8477009169909493,0.0,0.0,2000420.0,2000420.0,0.0,0.0,0.0,0.0,0.0
main,adaptive_complementarity,0.7450110924912055,0.003523037571031353,0.6890703082084656,0.003645207582895906,0.7467193857572745,0.002823459222935343,0.8439924401905248,14.4,11522419.2,5841226.4,17363645.6,0.0,0.7708201400033431,0.8,10.2,3.4
main,adaptive_graph_val,0.7516272330300872,0.0014391312969910602,0.6948550820350647,0.0009166732929630932,0.7432598475774442,0.0024424721000529588,0.8542202091040944,5.2,4160873.6,2320487.2,6481360.8,520.6,12.455655479998677,3.6,1.4,0.2
main,adaptive_pair,0.7459964518340149,0.003500618319517418,0.6898391246795654,0.0035354266403703023,0.746884516807271,0.002659978295175965,0.845161779344156,14.6,11682452.8,5921243.2,17603696.0,0.0,0.7519259200023953,3.8,4.4,6.4
main,expander_matched,0.7237390230392409,0.015145304080241104,0.6720208644866943,0.01339254834283523,0.736301388356876,0.006473049127554198,0.8245661982431859,5.0,4000840.0,2400504.0,6401344.0,0.0,0.0,0.2,2.8,2.0
main,fixed_ring,0.7456035716443097,0.003867721833020131,0.689476215839386,0.00393232326608594,0.746787327211613,0.0026676093106557104,0.844642275038829,15.0,12002520.0,6001260.0,18003780.0,0.0,0.0,1.6,8.8,4.6
main,full_mesh,0.7456823265102941,0.003847958116449121,0.6895671844482422,0.003923651126135531,0.7468404446971225,0.0026606809433733915,0.8446818726023061,105.0,84017640.0,6001260.0,90018900.0,0.0,0.0,15.0,54.0,36.0
main,local_reliability_vote,0.7456965290638439,0.0038426911394071933,0.6895731806755065,0.0039025904467754483,0.7468405649373435,0.002670327671435352,0.844678023092168,0.0,0.0,6001260.0,6001260.0,0.0,0.0,0.0,0.0,0.0
main,local_uniform_vote,0.7443763544359743,0.004315454737435817,0.6883294463157654,0.004511875379716031,0.746359149984974,0.0025013344750060003,0.843357283329043,0.0,0.0,6001260.0,6001260.0,0.0,0.0,0.0,0.0,0.0
main,random_matched,0.7390540414056966,0.004678887492682284,0.6848341941833496,0.004738293360439494,0.7397915008227465,0.004680739733306224,0.8363382921266076,5.0,4000840.0,3200672.0,7201512.0,0.0,0.0,0.6,2.8,1.6
main,single_party_best,0.7467824725645851,0.0006469980686869402,0.6907099604606628,0.0008500751409335764,0.7358863956661209,0.003510761339972882,0.8503170327673439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main,topk_reliability_vote,0.7503354526715003,0.0007733249522317707,0.693867301940918,0.0008768060118782775,0.7398593210013636,0.00332271096457875,0.8531227637225541,0.0,0.0,2000420.0,2000420.0,0.0,0.0,0.0,0.0,0.0
