method,Method,auc_mean,auc_std,total_comm_mean,total_comm_std,selected_edges_mean,pareto_optimal
single_party_best,Best Single,0.7402133743831477,0.004525805995335974,0.0,0.0,0.0,True
topk_reliability_vote,Global Top-k,0.7486929166282834,0.0014882169038834827,800168.0,0.0,0.0,True
local_uniform_vote,Uniform Vote,0.7491123185803575,0.0005820557245635625,2000420.0,0.0,0.0,False
local_reliability_vote,Reliability Vote,0.7497474940450205,0.0005840205665482269,2000420.0,0.0,0.0,True
random_matched,Random Matched,0.7458357318756417,0.00529173787463683,2880604.8,160033.6,2.0,False
adaptive_graph_val,TA-DVFG,0.751625019233409,0.0008729471988073211,3200672.0,506070.67815632233,2.4,True
adaptive_pair,Adaptive Pairwise,0.7509650854247748,0.0005553775397325271,5201092.0,0.0,4.0,False
adaptive_complementarity,Adaptive Complementarity,0.7450427385724501,0.0037940566552669315,5281108.8,588000.992550999,4.4,False
fixed_ring,Ring,0.7497617151486919,0.0005838194790148987,6001260.0,0.0,5.0,False
full_mesh,Full Mesh,0.7497198728530706,0.0005842765176611451,10002100.0,0.0,10.0,False
