seed,party,architecture,hidden_dim,private_view,val_auc,val_accuracy,test_auc,test_accuracy,test_f1
42,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.744487494298892,0.6851061277131802,0.7405683727484887,0.6867207886343868,0.7403731031025639
42,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.735895540083683,0.6807570410213855,0.7270981678516665,0.676377960628268,0.7343907702659457
42,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.6880732053562075,0.6379860229351836,0.6898914772941893,0.6444296697693485,0.71290589493653
42,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.6764598614063146,0.6318373141640256,0.6799682531229964,0.6379560292338609,0.7150209728572664
42,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.7406876727867296,0.6692494576139011,0.7309622977129066,0.6666749982503675,0.6881287914575567
43,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.7463454297921459,0.6873056658101798,0.742350482321798,0.6876255986242888,0.7348135699674925
43,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.7367239167525489,0.6797472530768539,0.7274072980173147,0.6774377380750043,0.7390801530112979
43,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.6847458905845325,0.6361864008558202,0.6884275150925202,0.642650043490867,0.7219661699901598
43,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.6723163213005653,0.6274782295717899,0.6789040623797294,0.6352715929654773,0.7225068364463411
43,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.7451343460844343,0.687175693104448,0.7183676145143182,0.6556373161636057,0.6701935644488703
44,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.7470370436344496,0.6895451955089431,0.7433519855269443,0.6891102868397636,0.7381641047663554
44,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.736475973112094,0.6788874336389358,0.7262797209605589,0.6773077653692725,0.7382722856980676
44,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.6864530001753896,0.6320272742724028,0.6871341227811346,0.6396056828066106,0.730733317895586
44,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.6743811418454174,0.6229791743733816,0.679097486060416,0.6326221493486368,0.7278181676771344
44,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.7426961198017986,0.687935533537957,0.7324923292981692,0.6817768268663581,0.7234665508253693
45,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.744849505558991,0.6868257665890163,0.7407363357784122,0.6867157896841664,0.7346268176390383
45,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.7355831096315472,0.6803171334019856,0.7268035831935667,0.6777826656402156,0.7346913575165364
45,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.6818882519158463,0.6291678747463033,0.6847826188489362,0.6395906859559493,0.72542948652035
45,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.6700948939682269,0.6271682946581218,0.6746466990646522,0.635466552024075,0.7200175080245113
45,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.7447074528144427,0.6876455944251707,0.731397266707836,0.6767978724467861,0.711703275632965
46,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.7475190775612753,0.6893052458983614,0.7433987646106716,0.6884654222613251,0.7382766238020444
46,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.7366796848594418,0.6817368352645944,0.7281789668394719,0.6791873706521631,0.7378624120775434
46,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.6808424370292281,0.6255886263884585,0.6826926440293756,0.6329420821627458,0.72751832266444
46,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.6714765444967805,0.629947710980694,0.6749752524659398,0.6376860859219564,0.7122221604580433
46,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.7415564586747934,0.6789674168424631,0.7213596580015396,0.6724137931034483,0.7120212695831777
