method,auc_mean,auc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,ndcg_at_10_mean,ndcg_at_10_std,selected_links_mean,peer_comm_mean,readout_comm_mean,total_comm_mean,topology_eval_count_mean,topology_update_time_mean
adaptive_complementarity,0.7450427385724501,0.0037940566552669315,0.6889303207397461,0.003056538528634672,0.7461132759389443,0.004224837882344608,0.8453759296519289,0.003001319538217648,4.4,3520739.2,1760369.6,5281108.8,0.0,0.08068971999746277
adaptive_graph_val,0.751625019233409,0.0008729471988073211,0.6948660731315612,0.0008578401266638227,0.7419702330168129,0.0032872718689783737,0.8552172681404366,0.0017214546446015014,2.4,1920403.2,1280268.8,3200672.0,25.8,0.315263500000583
adaptive_pair,0.7509650854247748,0.0005553775397325271,0.6938812971115113,0.0005526208497181601,0.7481752172420734,0.003305578375449827,0.8517818590500355,0.001744823233602862,4.0,3200672.0,2000420.0,5201092.0,0.0,0.08592295999987978
fixed_ring,0.7497617151486919,0.0005838194790148987,0.6924365878105163,0.0006298690951332632,0.7482643622416623,0.0032850012995835963,0.8501963891426476,0.0015628823272805302,5.0,4000840.0,2000420.0,6001260.0,0.0,0.0
full_mesh,0.7497198728530706,0.0005842765176611451,0.692404592037201,0.0006167444753949622,0.7482672387776887,0.0033130961589946466,0.850172123879321,0.0015212700943365884,10.0,8001680.0,2000420.0,10002100.0,0.0,0.0
local_reliability_vote,0.7497474940450205,0.0005840205665482269,0.6924295902252198,0.0006216855843952062,0.7482544631367912,0.003292750682377081,0.8502128958891833,0.0015314695352359863,0.0,0.0,2000420.0,2000420.0,0.0,0.0
local_uniform_vote,0.7491123185803575,0.0005820557245635625,0.6917347431182861,0.0007084814273173904,0.7482991116657728,0.0032855849918463774,0.84939327765136,0.0015576757071222185,0.0,0.0,2000420.0,2000420.0,0.0,0.0
random_matched,0.7458357318756417,0.00529173787463683,0.6888173580169678,0.005684040419121307,0.7465022285073247,0.004971664704209983,0.8477217962130563,0.005048679966140678,2.0,1600336.0,1280268.8,2880604.8,0.0,0.0
single_party_best,0.7402133743831477,0.004525805995335974,0.6857439875602722,0.004544573168744879,0.7326661354542843,0.010631609128116561,0.8437725049862044,0.0040475145306108325,0.0,0.0,0.0,0.0,0.0,0.0
topk_reliability_vote,0.7486929166282834,0.0014882169038834827,0.6914657831192017,0.0036705808908365266,0.7368242154650272,0.011680022913890992,0.8530624577077454,0.003823032181383952,0.0,0.0,800168.0,800168.0,0.0,0.0
