seed,comparison,auc_diff,communication_reduction
42,TA-DVFG vs Full Mesh,0.003922465325700508,0.6
42,TA-DVFG vs Adaptive Pairwise,0.0025244006044193856,0.23076923076923078
43,TA-DVFG vs Full Mesh,0.000921961643523761,0.72
43,TA-DVFG vs Adaptive Pairwise,-0.00017383797926662226,0.46153846153846156
44,TA-DVFG vs Full Mesh,0.0020684418627612278,0.72
44,TA-DVFG vs Adaptive Pairwise,0.0007870940397940451,0.46153846153846156
45,TA-DVFG vs Full Mesh,0.0009305306225619869,0.64
45,TA-DVFG vs Adaptive Pairwise,-0.00032161171847455705,0.3076923076923077
46,TA-DVFG vs Full Mesh,0.0016823324471446632,0.72
46,TA-DVFG vs Adaptive Pairwise,0.0004836240966985539,0.46153846153846156
