dataset,setting,seed,method,adaptive_min_edges,best_val,test_at_best_val,macro_f1,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,peer_to_peer_comm,global_readout_comm,total_comm,protocol_type,label_protocol,training_protocol,validation_protocol,validation_evaluator,active_party_id,passive_label_access,local_training_labels,validation_label_protocol,topology_evaluator,local_training_protocol,validation_split_mode,topology_val_fraction,topology_val_count,selection_val_count,topology_objective,joint_lambda,active_readout_acc,local_post_consensus_mean_acc,active_party_post_consensus_acc,local_worst_acc,local_best_acc,dropout_protocol,dropout_rate,dropout_seed,remaining_parties,dropped_party_ids,test_acc_after_dropout,local_post_consensus_acc_after_dropout,num_edges,peer_comm,readout_comm,control_plane_comm,final_edges,topology_update_comm,topology_eval_count,topology_update_time,useful_useful_edges,useful_noisy_edges,noisy_noisy_edges,selected_edges,useful_party_mask,party_view_names,party_reliabilities,party_permutation,prediction_cache_path,prediction_cache_fingerprint,auc,f1,ndcg_at_10
MovieLens1M,five,42,single_party_best,2,0.685106098651886,0.6867207884788513,0.6727454193735662,0.6727454193735662,0.6867207884788513,0.6867207884788513,0,0,0,0,0,local_reference,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6922746300697327,0.6624318838119507,0.6867207884788513,0.6379560232162476,0.6867207884788513,none,0.0,0,5,[],-1.0,-1.0,0,0,0,0,0,0,0,0.0,0,0,0,[],"[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.685106098651886, 0.6807570457458496, 0.6379860043525696, 0.6318373084068298, 0.6692494750022888]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed42.pt,df9c6715ba01ed06a46174817f0b8cf0a663c514ba90317ff1dc7da2d0e5fd6f,0.7405683727484887,0.7403731031025639,0.8469393514901439
MovieLens1M,five,42,local_uniform_vote,2,0.6883354783058167,0.6916947364807129,0.6785554543969412,0.6785554543969412,0.6916947364807129,0.6916947364807129,0,0,0,2000420,2000420,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6922746300697327,0.6624318838119507,0.6867207884788513,0.6379560232162476,0.6867207884788513,none,0.0,0,5,[],-1.0,-1.0,0,0,2000420,0,0,0,0,0.0,0,0,0,[],"[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.685106098651886, 0.6807570457458496, 0.6379860043525696, 0.6318373084068298, 0.6692494750022888]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed42.pt,df9c6715ba01ed06a46174817f0b8cf0a663c514ba90317ff1dc7da2d0e5fd6f,0.7485108155440294,0.7435443227464384,0.851306453028491
MovieLens1M,five,42,local_reliability_vote,2,0.6891552805900574,0.6922746300697327,0.679378098706015,0.679378098706015,0.6922746300697327,0.6922746300697327,0,0,0,2000420,2000420,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6922746300697327,0.6624318838119507,0.6867207884788513,0.6379560232162476,0.6867207884788513,none,0.0,0,5,[],-1.0,-1.0,0,0,2000420,0,0,0,0,0.0,0,0,0,[],"[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.685106098651886, 0.6807570457458496, 0.6379860043525696, 0.6318373084068298, 0.6692494750022888]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed42.pt,df9c6715ba01ed06a46174817f0b8cf0a663c514ba90317ff1dc7da2d0e5fd6f,0.7491141588579571,0.7436813484231477,0.85237137546662
MovieLens1M,five,42,adaptive_graph_val,2,0.6936143636703491,0.6958438754081726,0.6844326903707214,0.6844326903707214,0.6958438754081726,0.6958438754081726,0,2400504,2400504,1600336,4000840,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6958438754081726,0.669159471988678,0.6901500821113586,0.6379560232162476,0.6901500821113586,none,0.0,0,5,[],-1.0,-1.0,3,2400504,1600336,1000210,3,1000210,28,0.3342746999987867,3,0,0,"[[0,1],[0,4],[1,2]]","[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.685106098651886, 0.6807570457458496, 0.6379860043525696, 0.6318373084068298, 0.6692494750022888]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed42.pt,df9c6715ba01ed06a46174817f0b8cf0a663c514ba90317ff1dc7da2d0e5fd6f,0.7530094676377512,0.744440990919095,0.8573012962676978
MovieLens1M,five,42,fixed_ring,2,0.6891652941703796,0.6922646164894104,0.6793636622752477,0.6793636622752477,0.6922646164894104,0.6922646164894104,0,4000840,4000840,2000420,6001260,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6922646164894104,0.6691534876823425,0.6901500821113586,0.6454594731330872,0.6901500821113586,none,0.0,0,5,[],-1.0,-1.0,5,4000840,2000420,0,5,0,0,0.0,5,0,0,"[[0,1],[0,4],[1,2],[2,3],[3,4]]","[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.685106098651886, 0.6807570457458496, 0.6379860043525696, 0.6318373084068298, 0.6692494750022888]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed42.pt,df9c6715ba01ed06a46174817f0b8cf0a663c514ba90317ff1dc7da2d0e5fd6f,0.7491278765105164,0.743679424402918,0.8524431190676355
MovieLens1M,five,42,random_matched,2,0.6817468404769897,0.6860109567642212,0.673812327021345,0.673812327021345,0.6860109567642212,0.6860109567642212,0,1600336,1600336,1600336,3200672,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6860109567642212,0.6695003867149353,0.6888703107833862,0.6504234075546265,0.6888703107833862,none,0.0,0,5,[],-1.0,-1.0,2,1600336,1600336,0,2,0,0,0.0,2,0,0,"[[0,2],[3,4]]","[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.685106098651886, 0.6807570457458496, 0.6379860043525696, 0.6318373084068298, 0.6692494750022888]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed42.pt,df9c6715ba01ed06a46174817f0b8cf0a663c514ba90317ff1dc7da2d0e5fd6f,0.7418147585646454,0.7368919309504163,0.8452579726699203
MovieLens1M,five,42,full_mesh,2,0.6891052722930908,0.692219614982605,0.6793107541304568,0.6793107541304568,0.692219614982605,0.692219614982605,0,8001680,8001680,2000420,10002100,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.692219614982605,0.6698403358459473,0.6892602443695068,0.6483538746833801,0.6892602443695068,none,0.0,0,5,[],-1.0,-1.0,10,8001680,2000420,0,10,0,0,0.0,10,0,0,"[[0,1],[0,2],[0,3],[0,4],[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]]","[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.685106098651886, 0.6807570457458496, 0.6379860043525696, 0.6318373084068298, 0.6692494750022888]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed42.pt,df9c6715ba01ed06a46174817f0b8cf0a663c514ba90317ff1dc7da2d0e5fd6f,0.7490870023120507,0.7436515569767296,0.8522209897152538
MovieLens1M,five,42,adaptive_pair,2,0.6906649470329285,0.6936943531036377,0.6814703130326795,0.6814703130326795,0.6936943531036377,0.6936943531036377,0,3200672,3200672,2000420,5201092,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6936943531036377,0.6666660070419311,0.6901500821113586,0.6399906277656555,0.6901500821113586,none,0.0,0,5,[],-1.0,-1.0,4,3200672,2000420,1000210,4,1000210,0,0.0875656999996863,4,0,0,"[[0,1],[0,4],[1,4],[2,3]]","[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.685106098651886, 0.6807570457458496, 0.6379860043525696, 0.6318373084068298, 0.6692494750022888]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed42.pt,df9c6715ba01ed06a46174817f0b8cf0a663c514ba90317ff1dc7da2d0e5fd6f,0.7504850670333318,0.7438699159804372,0.8544587131313052
MovieLens1M,five,42,adaptive_complementarity,2,0.6832864880561829,0.6861109137535095,0.6730930105349457,0.6730930105349457,0.6861109137535095,0.6861109137535095,0,3200672,3200672,1600336,4801008,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6861109137535095,0.6699343204498291,0.6867207884788513,0.650473415851593,0.6867207884788513,none,0.0,0,5,[],-1.0,-1.0,4,3200672,1600336,1000210,4,1000210,0,0.064680399998906,4,0,0,"[[1,2],[1,3],[2,4],[3,4]]","[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.685106098651886, 0.6807570457458496, 0.6379860043525696, 0.6318373084068298, 0.6692494750022888]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed42.pt,df9c6715ba01ed06a46174817f0b8cf0a663c514ba90317ff1dc7da2d0e5fd6f,0.7406032384529722,0.7383283116839819,0.8434371676745773
MovieLens1M,five,42,topk_reliability_vote,2,0.6924845576286316,0.6932843923568726,0.678206148555804,0.678206148555804,0.6932843923568726,0.6932843923568726,0,0,0,800168,800168,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6932843923568726,0.6624318838119507,0.6867207884788513,0.6379560232162476,0.6867207884788513,none,0.0,0,5,[],-1.0,-1.0,0,0,800168,0,0,0,0,0.0,0,0,0,[],"[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.685106098651886, 0.6807570457458496, 0.6379860043525696, 0.6318373084068298, 0.6692494750022888]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed42.pt,df9c6715ba01ed06a46174817f0b8cf0a663c514ba90317ff1dc7da2d0e5fd6f,0.7500194769427063,0.7478631073706357,0.8573778724764538
MovieLens1M,five,43,single_party_best,2,0.6873056888580322,0.6876255869865417,0.6774112849411791,0.6774112849411791,0.6876255869865417,0.6876255869865417,0,0,0,0,0,local_reference,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6934693455696106,0.6597244620323182,0.6876255869865417,0.6352716088294983,0.6876255869865417,none,0.0,0,5,[],-1.0,-1.0,0,0,0,0,0,0,0,0.0,0,0,0,[],"[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.6873056888580322, 0.6797472238540649, 0.636186420917511, 0.6274782419204712, 0.6871756911277771]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed43.pt,4563ba613db05d7051393551b5c9c35ab9806402147d3df89d8f74c9d55658aa,0.742350482321798,0.7348135699674925,0.8439042477588142
MovieLens1M,five,43,local_uniform_vote,2,0.6880255341529846,0.6927445530891418,0.6787655089018673,0.6787655089018673,0.6927445530891418,0.6927445530891418,0,0,0,2000420,2000420,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6934693455696106,0.6597244620323182,0.6876255869865417,0.6352716088294983,0.6876255869865417,none,0.0,0,5,[],-1.0,-1.0,0,0,2000420,0,0,0,0,0.0,0,0,0,[],"[true, true, true, true, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp""]","[0.6873056888580322, 0.6797472238540649, 0.636186420917511, 0.6274782419204712, 0.6871756911277771]","[0, 1, 2, 3, 4]",outputs\movielens_leakage_safe_20260705\cache\movielens_five_n5_seed43.pt,4563ba613db05d7051393551b5c9c35ab9806402147d3df89d8f74c9d55658aa,0.7496355790303723,0.7457770130536208,0.8466295384705426
