seed,party,architecture,hidden_dim,private_view,val_auc,val_accuracy,test_auc,test_accuracy,test_f1
42,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.6113978512549527,0.570240249547595,0.6123970378836634,0.5717649293648334,0.5968193605775793
42,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.603975072765305,0.5799782045770389,0.6082027978519046,0.5859969406424651,0.6469971441967521
42,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.5923116768406648,0.5688705371871907,0.5956051037087976,0.5746093320402715,0.6332353524295529
42,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.6697828280036033,0.6174403375291189,0.6679504483643595,0.6184901170754141,0.6404571665473185
42,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.5953347920317538,0.5634816688495417,0.591591031733085,0.5623918977014827,0.606289296861648
42,sparse_rating_mf,sparse matrix_factorization,40,sparse train interactions,0.6226916952305064,0.595824876775877,0.6277227903368403,0.5985393067455834,0.653913613073101
42,masked_genres,metadata MLP with masked genres,24,partially masked movie genres,0.6717687640759511,0.624018956019236,0.6710016419789308,0.6210245848371841,0.6434084826363248
42,corrupt_user_profile,profile MLP with corrupted features,20,corrupted age/gender/occupation,0.744487494298892,0.6851061277131802,0.7405683727484887,0.6867207886343868,0.7403731031025639
42,outdated_popularity,small MLP,12,early-train popularity statistics,0.655254965532788,0.616120614670919,0.6443971918342482,0.608252267023925,0.659917025413137
42,low_degree_interaction,low-rank matrix_factorization,24,low-degree interaction subset,0.735895540083683,0.6807570410213855,0.7270981678516665,0.676377960628268,0.7343907702659457
42,random_project_movie,random projection MLP,18,projected movie metadata,0.6764598614063146,0.6318373141640256,0.6799682531229964,0.6379560292338609,0.7150209728572664
42,weak_genre_knn,weak KNN MLP,18,small-k noisy genre graph,0.7406876727867296,0.6692494576139011,0.7309622977129066,0.6666749982503675,0.6881287914575567
42,highk_noisy_knn,noisy KNN MLP,18,high-k noisy genre graph,0.6146139149013968,0.5803481268933524,0.6084685996826495,0.5755741294328192,0.6219863492473386
42,partial_profile,partial profile MLP,12,age-only user profile,0.6412051462142181,0.6037032223233121,0.6371766078415139,0.6019535897461533,0.6522335388969445
42,shuffled_feature_diagnostic,diagnostic MLP,10,shuffled train-view features,0.6880732053562075,0.6379860229351836,0.6898914772941893,0.6444296697693485,0.71290589493653
43,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.7367239167525489,0.6797472530768539,0.7274072980173147,0.6774377380750043,0.7390801530112979
43,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.6359856349313103,0.5911058677677687,0.624475495857184,0.5786384859179572,0.5927035515825079
43,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.6847458905845325,0.6361864008558202,0.6884275150925202,0.642650043490867,0.7219661699901598
43,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.6586681967189728,0.6109417022425291,0.6454941887922944,0.5966647004129133,0.6086986042270871
43,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.7451343460844343,0.687175693104448,0.7183676145143182,0.6556373161636057,0.6701935644488703
43,sparse_rating_mf,sparse matrix_factorization,40,sparse train interactions,0.7243496121804783,0.6717589306245688,0.7013457035832651,0.6437948030913508,0.6568291273357735
43,masked_genres,metadata MLP with masked genres,24,partially masked movie genres,0.7463454297921459,0.6873056658101798,0.742350482321798,0.6876255986242888,0.7348135699674925
