method,auc_mean,auc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,ndcg_at_10_mean,ndcg_at_10_std,selected_links_mean,peer_comm_mean,readout_comm_mean,total_comm_mean,topology_eval_count_mean,topology_update_time_mean
adaptive_complementarity,0.7432798881047653,0.0024616945691253926,0.687484622001648,0.0035710560737935494,0.738918341250226,0.011895624498484426,0.8414265808652168,0.00374224793901433,14.4,11522419.2,5761209.6,17283628.8,0.0,0.7573603600030765
adaptive_graph_val,0.7498306971043321,0.000539162492272163,0.6938832879066468,0.0005090389252213725,0.7422953695474845,0.0037423978925969627,0.8487808842314696,0.0012887632401938093,5.0,4000840.0,2400504.0,6401344.0,496.0,10.712517320000916
adaptive_pair,0.7439886592285074,0.002914888696921889,0.688061511516571,0.004551719121225447,0.7384019717171509,0.013071335469293833,0.8424509455811797,0.00345600211878768,14.2,11362385.6,5761209.6,17123595.2,0.0,0.7527238799986662
expander_matched,0.7301340895002072,0.008189631246955294,0.6769508361816406,0.006699731188362866,0.7278823808658108,0.013249062077909496,0.8285836744929022,0.0054835565834497335,5.0,4000840.0,2400504.0,6401344.0,0.0,0.0
fixed_ring,0.7434022018020763,0.0028460112801226506,0.6875735998153687,0.004482273822988843,0.7381230344128713,0.013163784233421478,0.8419566186870234,0.0038413231667811755,15.0,12002520.0,6001260.0,18003780.0,0.0,0.0
full_mesh,0.74348495156055,0.002834450998732047,0.6876635789871216,0.0044613545171264595,0.7382162275245789,0.013093886361224388,0.8420362204696928,0.003924993452665733,105.0,84017640.0,6001260.0,90018900.0,0.0,0.0
local_reliability_vote,0.7434974030556847,0.0028349213791786614,0.6876785755157471,0.004474323211529869,0.7382244309719329,0.013104321193476664,0.8420415243849394,0.003949515706539313,0.0,0.0,6001260.0,6001260.0,0.0,0.0
local_uniform_vote,0.742351940820035,0.00281238910545347,0.6866858005523682,0.004343192668232241,0.7376465396588043,0.013131714659104888,0.8405967316498645,0.0036054642541337137,0.0,0.0,6001260.0,6001260.0,0.0,0.0
random_matched,0.7426039036511998,0.005280681647626483,0.687407648563385,0.0046964626861712485,0.7398936606738283,0.010383078937714159,0.8399800486730223,0.004828983687854161,5.0,4000840.0,3200672.0,7201512.0,0.0,0.0
single_party_best,0.7402133743831477,0.004525805995335974,0.6857439875602722,0.004544573168744879,0.7326661354542843,0.010631609128116561,0.8437725049862044,0.0040475145306108325,0.0,0.0,0.0,0.0,0.0,0.0
topk_reliability_vote,0.7472580553256385,0.002483914668994296,0.6900770902633667,0.004657980975342642,0.7350648981917715,0.011469597965817238,0.8477009169909493,0.0028773237179636592,0.0,0.0,2000420.0,2000420.0,0.0,0.0
