seed,party,architecture,hidden_dim,private_view,val_auc,val_accuracy,test_auc,test_accuracy,test_f1
42,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.7067652491596185,0.6615110826726387,0.6988904615462564,0.657976824866778,0.7138034743979621
42,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.7406876727867296,0.6692494576139011,0.7309622977129066,0.6666749982503675,0.6881287914575567
42,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.744487494298892,0.6851061277131802,0.7405683727484887,0.6867207886343868,0.7403731031025639
42,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.5992848717024606,0.5670609172073865,0.5926925139035198,0.5641265334279801,0.6086577949327888
42,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.701409749283046,0.6549724557842853,0.6918901308190001,0.6518031213445177,0.7075229265343143
42,sparse_rating_mf,sparse matrix_factorization,40,sparse train interactions,0.709135500137565,0.6545525439657672,0.7037114681751383,0.6490037092210635,0.6703815675817778
42,masked_genres,metadata MLP with masked genres,24,partially masked movie genres,0.6606434854726273,0.6255686305875766,0.6636397156999799,0.6308775157216985,0.7045289028674782
42,corrupt_user_profile,profile MLP with corrupted features,20,corrupted age/gender/occupation,0.6880732053562075,0.6379860229351836,0.6898914772941893,0.6444296697693485,0.71290589493653
42,outdated_popularity,small MLP,12,early-train popularity statistics,0.7492655134150853,0.6899451115265794,0.7460092681211471,0.6910698753261815,0.7368362780041818
42,low_degree_interaction,low-rank matrix_factorization,24,low-degree interaction subset,0.7247216460389889,0.6716889453214825,0.7216531190986636,0.6727487227682186,0.7242715502354456
42,random_project_movie,random projection MLP,18,projected movie metadata,0.735895540083683,0.6807570410213855,0.7270981678516665,0.676377960628268,0.7343907702659457
42,weak_genre_knn,weak KNN MLP,18,small-k noisy genre graph,0.606520478176873,0.5771787924535847,0.6095732649037641,0.5820477699683066,0.6333175446906303
42,highk_noisy_knn,noisy KNN MLP,18,high-k noisy genre graph,0.6764598614063146,0.6318373141640256,0.6799682531229964,0.6379560292338609,0.7150209728572664
42,partial_profile,partial profile MLP,12,age-only user profile,0.5924011156915877,0.5558332750122474,0.595911425783828,0.5600423910978695,0.5858586809215479
42,shuffled_feature_diagnostic,diagnostic MLP,10,shuffled train-view features,0.6494931671429326,0.6194599134181822,0.6533070449845333,0.6239639675668109,0.6958093566636607
43,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.6406018066407858,0.6044530648563802,0.6340949967969689,0.6008438227972126,0.6535427604460451
43,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.7237573369447111,0.6737085212105458,0.7222263930510917,0.6749582587656592,0.7209571792737041
