method,auc_mean,auc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,ndcg_at_10_mean,ndcg_at_10_std,selected_links_mean,peer_comm_mean,readout_comm_mean,total_comm_mean,topology_eval_count_mean,topology_update_time_mean
adaptive_complementarity,0.7450110924912055,0.003523037571031353,0.6890703082084656,0.003645207582895906,0.7467193857572745,0.002823459222935343,0.8439924401905248,0.0024424878014435393,14.4,11522419.2,5841226.4,17363645.6,0.0,0.7708201400033431
adaptive_graph_val,0.7516272330300872,0.0014391312969910602,0.6948550820350647,0.0009166732929630932,0.7432598475774442,0.0024424721000529588,0.8542202091040944,0.0017577160042287529,5.2,4160873.6,2320487.2,6481360.8,520.6,12.455655479998677
adaptive_pair,0.7459964518340149,0.003500618319517418,0.6898391246795654,0.0035354266403703023,0.746884516807271,0.002659978295175965,0.845161779344156,0.0026550974700296362,14.6,11682452.8,5921243.2,17603696.0,0.0,0.7519259200023953
expander_matched,0.7237390230392409,0.015145304080241104,0.6720208644866943,0.01339254834283523,0.736301388356876,0.006473049127554198,0.8245661982431859,0.010387581483695818,5.0,4000840.0,2400504.0,6401344.0,0.0,0.0
fixed_ring,0.7456035716443097,0.003867721833020131,0.689476215839386,0.00393232326608594,0.746787327211613,0.0026676093106557104,0.844642275038829,0.002950807803496434,15.0,12002520.0,6001260.0,18003780.0,0.0,0.0
full_mesh,0.7456823265102941,0.003847958116449121,0.6895671844482422,0.003923651126135531,0.7468404446971225,0.0026606809433733915,0.8446818726023061,0.002989218202156977,105.0,84017640.0,6001260.0,90018900.0,0.0,0.0
local_reliability_vote,0.7456965290638439,0.0038426911394071933,0.6895731806755065,0.0039025904467754483,0.7468405649373435,0.002670327671435352,0.844678023092168,0.0029796282388064536,0.0,0.0,6001260.0,6001260.0,0.0,0.0
local_uniform_vote,0.7443763544359743,0.004315454737435817,0.6883294463157654,0.004511875379716031,0.746359149984974,0.0025013344750060003,0.843357283329043,0.003177521909844224,0.0,0.0,6001260.0,6001260.0,0.0,0.0
random_matched,0.7390540414056966,0.004678887492682284,0.6848341941833496,0.004738293360439494,0.7397915008227465,0.004680739733306224,0.8363382921266076,0.0017117599274308283,5.0,4000840.0,3200672.0,7201512.0,0.0,0.0
single_party_best,0.7467824725645851,0.0006469980686869402,0.6907099604606628,0.0008500751409335764,0.7358863956661209,0.003510761339972882,0.8503170327673439,0.0016992107965800257,0.0,0.0,0.0,0.0,0.0,0.0
topk_reliability_vote,0.7503354526715003,0.0007733249522317707,0.693867301940918,0.0008768060118782775,0.7398593210013636,0.00332271096457875,0.8531227637225541,0.002059829688712008,0.0,0.0,2000420.0,2000420.0,0.0,0.0
