job_id,suite,setting,dataset,method,best_val_mean,best_val_std,best_val_count,test_at_best_val_mean,test_at_best_val_std,test_at_best_val_count,macro_f1_at_best_val_mean,macro_f1_at_best_val_std,macro_f1_at_best_val_count,best_observed_test_mean,best_observed_test_std,best_observed_test_count,final_test_mean,final_test_std,final_test_count,train_comm_mean,train_comm_std,train_comm_count,inference_comm_mean,inference_comm_std,inference_comm_count,final_edges_mean,final_edges_std,final_edges_count,topology_update_comm_mean,topology_update_comm_std,topology_update_comm_count,topology_eval_count_mean,topology_eval_count_std,topology_eval_count_count,topology_update_time_mean,topology_update_time_std,topology_update_time_count,useful_useful_edges_mean,useful_useful_edges_std,useful_useful_edges_count,useful_noisy_edges_mean,useful_noisy_edges_std,useful_noisy_edges_count,noisy_noisy_edges_mean,noisy_noisy_edges_std,noisy_noisy_edges_count,param_dataset,param_graph_views,param_num_parties,param_view_setting,param_useful_parties,param_epochs,param_seeds,param_methods,param_adaptive_edge_budget,param_adaptive_min_edges,param_adaptive_min_gain,param_max_degree,param_pred_consensus_steps,param_pred_self_weight,param_vote_weighting,param_reliability_power,param_topology_degree_power,param_final_reliability_floor,param_topk_reliability_k,param_matched_edge_count,param_readout_mode,param_validation_evaluator,param_active_party_id,param_device,param_shuffle_party_positions,param_party_shuffle_seed_offset,param_cache_predictions,param_reuse_prediction_cache,param_cache_dir,param_skip_local_training_if_cache_exists,param_modality_setting,param_modalities,param_modality_dim,param_ignore_dataset_split
active_party_evaluator/acm_hard_noisy_active_party,active_party_evaluator,hard_noisy,ACM,adaptive_graph_val,0.8877483367919922,0.01568048605091352,5,0.8507413268089294,0.01958313877109763,5,0.8509236626929765,0.019865744220779077,5,0.8724876165390014,0.008286524337021756,5,0.8576605916023254,0.01844110222563255,5,0.0,0.0,5,90750.0,0.0,5,5.0,0.0,5,407700.0,0.0,5,7485.2,45.38942608141235,5,23.68181938001653,1.6138155457808798,5,2.2,0.4472135954999579,5,1.6,0.8944271909999159,5,1.2,0.4472135954999579,5,ACM,"PAP,PSP,KNN",15,hard,3,300,"42,43,44,45,46",adaptive_graph_val,15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,active_party,0,cuda,,,,,,,,,,
active_party_evaluator/acm_hard_noisy_all_parties,active_party_evaluator,hard_noisy,ACM,adaptive_graph_val,0.8870860815048218,0.015010637125000219,5,0.8537067294120788,0.016367034019216183,5,0.8537380756980113,0.016766004615543152,5,0.8708401799201966,0.014295812001707525,5,0.8583195924758911,0.008319191986850761,5,0.0,0.0,5,90750.0,0.0,5,5.0,0.0,5,407700.0,0.0,5,7473.6,36.97701989073763,5,25.07390281999833,1.0281376615009443,5,2.0,0.0,5,2.0,0.0,5,1.0,0.0,5,ACM,"PAP,PSP,KNN",15,hard,3,300,"42,43,44,45,46",adaptive_graph_val,15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,,,,,,,,,,
active_party_evaluator/acm_main_active_party,active_party_evaluator,main,ACM,adaptive_graph_val,0.9208609342575074,0.012300781027483864,5,0.8935749292373657,0.008037105260302931,5,0.8938428265414313,0.008432626468986421,5,0.9067544937133789,0.011088189855944553,5,0.8939044237136841,0.009718524578368916,5,0.0,0.0,5,94380.0,8116.926758324236,5,5.2,0.44721359549995787,5,407700.0,0.0,5,7898.0,103.35134251667945,5,25.91085467999801,1.1801854222802093,5,3.8,1.0954451150103321,5,1.2,1.0954451150103321,5,0.2,0.447213595499958,5,ACM,"PAP,PSP,KNN",15,hard,6,300,"42,43,44,45,46",adaptive_graph_val,15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,active_party,0,cuda,,,,,,,,,,
active_party_evaluator/acm_main_all_parties,active_party_evaluator,main,ACM,adaptive_graph_val,0.9208609342575074,0.010232796106062782,5,0.8965403437614441,0.015775965819979653,5,0.8968385079725202,0.015918050241753422,5,0.9087314367294311,0.010840658609834785,5,0.8919275045394898,0.011742032740835366,5,0.0,0.0,5,90750.0,0.0,5,5.0,0.0,5,407700.0,0.0,5,7891.8,170.43825861584014,5,25.809282299980985,1.4844964067759188,5,3.4,0.5477225575051662,5,1.4,0.5477225575051661,5,0.2,0.447213595499958,5,ACM,"PAP,PSP,KNN",15,hard,6,300,"42,43,44,45,46",adaptive_graph_val,15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,,,,,,,,,,
active_party_evaluator/dblp_hard_noisy_active_party,active_party_evaluator,hard_noisy,DBLP,adaptive_graph_val,0.913086473941803,0.011535124047315572,5,0.8918918609619141,0.007057192874140433,5,0.8831241518477645,0.008718405754317284,5,0.9054053783416748,0.006324097052862332,5,0.8928746700286865,0.008121129545967958,5,0.0,0.0,5,175262.4,17776.88332638767,5,5.4,0.547722557505166,5,729000.0,0.0,5,7831.6,89.97388510006662,5,23.812382080015958,4.681411453927575,5,0.8,0.4472135954999579,5,2.6,0.5477225575051661,5,2.0,0.0,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,3,300,"42,43,44,45,46",adaptive_graph_val,15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,active_party,0,cuda,,,,,,,,,,
active_party_evaluator/dblp_hard_noisy_all_parties,active_party_evaluator,hard_noisy,DBLP,adaptive_graph_val,0.9135802984237671,0.012499054633320943,5,0.8941031575202942,0.007131658234011398,5,0.8853013361156574,0.008210794584149072,5,0.9049139857292176,0.005397021702444846,5,0.8923832774162292,0.005801335849947999,5,0.0,0.0,5,162280.0,0.0,5,5.0,0.0,5,729000.0,0.0,5,7779.2,90.38639278121468,5,26.735764699976425,1.285285451494846,5,1.0,0.0,5,2.4,0.5477225575051661,5,1.6,0.5477225575051662,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,3,300,"42,43,44,45,46",adaptive_graph_val,15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,,,,,,,,,,
active_party_evaluator/dblp_main_active_party,active_party_evaluator,main,DBLP,adaptive_graph_val,0.9306173324584961,0.008790613585776002,5,0.9105651021003723,0.008918285192661296,5,0.9032769762758746,0.010661861634544712,5,0.9226044058799744,0.010093183435024862,5,0.9103193998336792,0.014300306799886978,5,0.0,0.0,5,168771.2,14514.764455546634,5,5.2,0.44721359549995787,5,729000.0,0.0,5,7918.0,120.71039723238425,5,27.48942783997627,0.5525996082471395,5,2.0,0.0,5,2.2,0.447213595499958,5,1.0,0.7071067811865476,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,6,300,"42,43,44,45,46",adaptive_graph_val,15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,active_party,0,cuda,,,,,,,,,,
active_party_evaluator/dblp_main_all_parties,active_party_evaluator,main,DBLP,adaptive_graph_val,0.9320988059043884,0.008773260268194813,5,0.9162161946296692,0.012080611799893176,5,0.9097377498722373,0.013946521659215578,5,0.9235872030258179,0.009727685246966093,5,0.914004898071289,0.011910760927713723,5,0.0,0.0,5,162280.0,0.0,5,5.0,0.0,5,729000.0,0.0,5,7920.0,216.60909491524117,5,26.26629438000382,1.4603804723258014,5,2.0,0.0,5,2.2,0.8366600265340756,5,0.8,0.8366600265340756,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,6,300,"42,43,44,45,46",adaptive_graph_val,15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,,,,,,,,,,
central_baselines/acm_hard_noisy,central_baselines,hard_noisy,ACM,central_full_gcn,0.7546357631683349,0.015592804671582677,5,0.7449752688407898,0.006732390860663296,5,0.746963377834435,0.007604375160521184,5,0.7545304656028747,0.011473127071685732,5,0.6827017903327942,0.022486279017845685,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,ACM,"PAP,PSP,KNN",15,hard,3,300,"42,43,44,45,46","central_fusion,central_full_gcn",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,,,,,,,,,,
central_baselines/acm_hard_noisy,central_baselines,hard_noisy,ACM,central_fusion,0.37152317762374876,0.016745617754993444,5,0.3485996603965759,0.005894078917048877,5,0.30735084772137294,0.07507659632782247,5,0.38056011795997613,0.015801747510416065,5,0.3390444815158844,0.01125821882188103,5,871200000.0,0.0,5,2904000.0,0.0,5,105.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,ACM,"PAP,PSP,KNN",15,hard,3,300,"42,43,44,45,46","central_fusion,central_full_gcn",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,,,,,,,,,,
central_baselines/acm_main,central_baselines,main,ACM,central_full_gcn,0.7605960249900818,0.011565718841664368,5,0.756507408618927,0.014046817336335308,5,0.7578232224120623,0.015171015906526003,5,0.7601317882537841,0.011625867472875704,5,0.6879736304283142,0.024368854349861947,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,ACM,"PAP,PSP,KNN",15,hard,6,300,"42,43,44,45,46","central_fusion,central_full_gcn",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,,,,,,,,,,
central_baselines/acm_main,central_baselines,main,ACM,central_fusion,0.37384105920791627,0.01321396183684224,5,0.34069191217422484,0.01912031735072175,5,0.30420647964506997,0.07573301239653364,5,0.36606259346008296,0.01594707873038008,5,0.3400329351425171,0.013363618682752541,5,871200000.0,0.0,5,2904000.0,0.0,5,105.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,ACM,"PAP,PSP,KNN",15,hard,6,300,"42,43,44,45,46","central_fusion,central_full_gcn",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,,,,,,,,,,
central_baselines/dblp_hard_noisy,central_baselines,hard_noisy,DBLP,central_full_gcn,0.9138272047042847,0.011159028506024245,5,0.8995085835456849,0.010293046302585198,5,0.8907527587363189,0.012383487349713373,5,0.9090909004211426,0.011090585683119535,5,0.8987714767456054,0.01327690520283303,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,DBLP,"APA,APCPA,APTPA,KNN",15,hard,3,300,"42,43,44,45,46","central_fusion,central_full_gcn",15,5,0.001,2,1,0.85,topology_reliability,1.0,0.5,0.0,5,5,active_vote,all_parties,0,cuda,,,,,,,,,,
