dataset,method,adaptive_min_edges,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,inference_comm_mean,inference_comm_std,final_edges_mean,final_edges_std,topology_update_comm_mean,topology_update_comm_std,topology_eval_count_mean,topology_eval_count_std,topology_update_time_mean,topology_update_time_std,useful_useful_edges_mean,useful_useful_edges_std,useful_noisy_edges_mean,useful_noisy_edges_std,noisy_noisy_edges_mean,noisy_noisy_edges_std,seeds,prediction_cache_fingerprints
ACM,local_uniform_vote,5,0.5611202538013458,0.05439666090431348,0.5588089066992563,0.057542660498500264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,78fa04998aaceb78c35114d5073ab90b90977b56a927a7a8c3136b76bf7b72b8,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,d6f212aca1d6321753df32d17bf286dfed4606a73d440a4517c34fc7e8f39e03,fafec304836823a69367da4b8d97dd4bd2c59bc53076953bcf7a7fc2e8760cb9"
ACM,local_reliability_vote,5,0.7598022937774658,0.038683784788211314,0.7593868225757652,0.03921983676516764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,78fa04998aaceb78c35114d5073ab90b90977b56a927a7a8c3136b76bf7b72b8,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,d6f212aca1d6321753df32d17bf286dfed4606a73d440a4517c34fc7e8f39e03,fafec304836823a69367da4b8d97dd4bd2c59bc53076953bcf7a7fc2e8760cb9"
ACM,topk_reliability_vote,5,0.8550247073173523,0.024854067784765732,0.855482703778589,0.024361058352966647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,78fa04998aaceb78c35114d5073ab90b90977b56a927a7a8c3136b76bf7b72b8,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,d6f212aca1d6321753df32d17bf286dfed4606a73d440a4517c34fc7e8f39e03,fafec304836823a69367da4b8d97dd4bd2c59bc53076953bcf7a7fc2e8760cb9"
ACM,fixed_ring,5,0.7492586255073548,0.03985866987073368,0.7494366249285087,0.04029094928841315,272250.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4898979485566356,4.8,0.9797958971132712,9.6,0.4898979485566356,5,"6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,78fa04998aaceb78c35114d5073ab90b90977b56a927a7a8c3136b76bf7b72b8,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,d6f212aca1d6321753df32d17bf286dfed4606a73d440a4517c34fc7e8f39e03,fafec304836823a69367da4b8d97dd4bd2c59bc53076953bcf7a7fc2e8760cb9"
ACM,fixed_ring_matched,5,0.6754530310630799,0.18644551682049174,0.674446318949123,0.18707949754409967,90750.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4898979485566356,1.6,1.019803902718557,3.0,1.0954451150103321,5,"6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,78fa04998aaceb78c35114d5073ab90b90977b56a927a7a8c3136b76bf7b72b8,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,d6f212aca1d6321753df32d17bf286dfed4606a73d440a4517c34fc7e8f39e03,fafec304836823a69367da4b8d97dd4bd2c59bc53076953bcf7a7fc2e8760cb9"
ACM,random_regular,5,0.7380559921264649,0.05235666012508675,0.738501538160883,0.05207355645820484,268620.0,7260.0,14.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9797958971132712,4.4,1.9595917942265424,9.6,1.2,5,"6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,78fa04998aaceb78c35114d5073ab90b90977b56a927a7a8c3136b76bf7b72b8,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,d6f212aca1d6321753df32d17bf286dfed4606a73d440a4517c34fc7e8f39e03,fafec304836823a69367da4b8d97dd4bd2c59bc53076953bcf7a7fc2e8760cb9"
ACM,random_matched,5,0.6771004855632782,0.18401616156857278,0.6763356551633277,0.18584957941771993,90750.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,2.4,1.624807680927192,2.4,1.624807680927192,5,"6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,78fa04998aaceb78c35114d5073ab90b90977b56a927a7a8c3136b76bf7b72b8,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,d6f212aca1d6321753df32d17bf286dfed4606a73d440a4517c34fc7e8f39e03,fafec304836823a69367da4b8d97dd4bd2c59bc53076953bcf7a7fc2e8760cb9"
ACM,expander,5,0.7492586255073548,0.03985866987073368,0.7494366249285087,0.04029094928841315,272250.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4898979485566356,4.8,0.9797958971132712,9.6,0.4898979485566356,5,"6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,78fa04998aaceb78c35114d5073ab90b90977b56a927a7a8c3136b76bf7b72b8,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,d6f212aca1d6321753df32d17bf286dfed4606a73d440a4517c34fc7e8f39e03,fafec304836823a69367da4b8d97dd4bd2c59bc53076953bcf7a7fc2e8760cb9"
ACM,expander_matched,5,0.4082372307777405,0.14882707539169554,0.4044166288586613,0.15130954647462655,90750.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2649110640673518,4.0,1.2649110640673518,5,"6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,78fa04998aaceb78c35114d5073ab90b90977b56a927a7a8c3136b76bf7b72b8,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,d6f212aca1d6321753df32d17bf286dfed4606a73d440a4517c34fc7e8f39e03,fafec304836823a69367da4b8d97dd4bd2c59bc53076953bcf7a7fc2e8760cb9"
ACM,full_mesh,5,0.7551894307136535,0.045064216336696675,0.753842988992117,0.046024969565710824,1905750.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,0.0,66.0,0.0,5,"6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,78fa04998aaceb78c35114d5073ab90b90977b56a927a7a8c3136b76bf7b72b8,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,d6f212aca1d6321753df32d17bf286dfed4606a73d440a4517c34fc7e8f39e03,fafec304836823a69367da4b8d97dd4bd2c59bc53076953bcf7a7fc2e8760cb9"
