dataset,method,adaptive_min_edges,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,inference_comm_mean,inference_comm_std,final_edges_mean,final_edges_std,topology_update_comm_mean,topology_update_comm_std,topology_eval_count_mean,topology_eval_count_std,topology_update_time_mean,topology_update_time_std,useful_useful_edges_mean,useful_useful_edges_std,useful_noisy_edges_mean,useful_noisy_edges_std,noisy_noisy_edges_mean,noisy_noisy_edges_std,seeds,prediction_cache_fingerprints
ACM,local_uniform_vote,5,0.7133442997932434,0.044094978195680465,0.7120126405329729,0.044631107827747235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"2238cb9f0cd72635a0c719a52cdf46c622684dc58c2891a4909a141f2dfd0755,b3c174673934f2eeb95c7ee59816b32c17876283c7787f56b9f8797e1e209804,b89233f7a7f0018788d355861d7a02b16ebe10013db5f903e04bfc1c3d4134ac,c52e635ba4323dcd1334224729834a940793e3b824f845d92a072f48db77e2f9,eb5f6458e051b016f1c1b0b97b9be30fc11d75c38a409d1a6358d0238f907ae7"
ACM,local_reliability_vote,5,0.8606260061264038,0.020486716670044234,0.8608636731533205,0.019811292400653956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"2238cb9f0cd72635a0c719a52cdf46c622684dc58c2891a4909a141f2dfd0755,b3c174673934f2eeb95c7ee59816b32c17876283c7787f56b9f8797e1e209804,b89233f7a7f0018788d355861d7a02b16ebe10013db5f903e04bfc1c3d4134ac,c52e635ba4323dcd1334224729834a940793e3b824f845d92a072f48db77e2f9,eb5f6458e051b016f1c1b0b97b9be30fc11d75c38a409d1a6358d0238f907ae7"
ACM,topk_reliability_vote,5,0.898187792301178,0.009047455488869116,0.8983379251429601,0.008953986531640578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"2238cb9f0cd72635a0c719a52cdf46c622684dc58c2891a4909a141f2dfd0755,b3c174673934f2eeb95c7ee59816b32c17876283c7787f56b9f8797e1e209804,b89233f7a7f0018788d355861d7a02b16ebe10013db5f903e04bfc1c3d4134ac,c52e635ba4323dcd1334224729834a940793e3b824f845d92a072f48db77e2f9,eb5f6458e051b016f1c1b0b97b9be30fc11d75c38a409d1a6358d0238f907ae7"
ACM,fixed_ring,5,0.8540362238883972,0.023289092692486156,0.8540306409280481,0.022604871258685277,272250.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.8,7.2,1.6,5.4,0.8,5,"2238cb9f0cd72635a0c719a52cdf46c622684dc58c2891a4909a141f2dfd0755,b3c174673934f2eeb95c7ee59816b32c17876283c7787f56b9f8797e1e209804,b89233f7a7f0018788d355861d7a02b16ebe10013db5f903e04bfc1c3d4134ac,c52e635ba4323dcd1334224729834a940793e3b824f845d92a072f48db77e2f9,eb5f6458e051b016f1c1b0b97b9be30fc11d75c38a409d1a6358d0238f907ae7"
ACM,fixed_ring_matched,5,0.7696869492530822,0.06775312351220195,0.7681816855385224,0.06855808415175565,90750.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,2.0,0.8944271909999159,2.2,0.7483314773547883,5,"2238cb9f0cd72635a0c719a52cdf46c622684dc58c2891a4909a141f2dfd0755,b3c174673934f2eeb95c7ee59816b32c17876283c7787f56b9f8797e1e209804,b89233f7a7f0018788d355861d7a02b16ebe10013db5f903e04bfc1c3d4134ac,c52e635ba4323dcd1334224729834a940793e3b824f845d92a072f48db77e2f9,eb5f6458e051b016f1c1b0b97b9be30fc11d75c38a409d1a6358d0238f907ae7"
ACM,random_regular,5,0.8570016384124756,0.021414274613341482,0.8573758482526449,0.020451861323688394,268620.0,7260.0,14.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.4898979485566356,7.0,0.8944271909999159,5.4,0.4898979485566356,5,"2238cb9f0cd72635a0c719a52cdf46c622684dc58c2891a4909a141f2dfd0755,b3c174673934f2eeb95c7ee59816b32c17876283c7787f56b9f8797e1e209804,b89233f7a7f0018788d355861d7a02b16ebe10013db5f903e04bfc1c3d4134ac,c52e635ba4323dcd1334224729834a940793e3b824f845d92a072f48db77e2f9,eb5f6458e051b016f1c1b0b97b9be30fc11d75c38a409d1a6358d0238f907ae7"
ACM,random_matched,5,0.7502471089363099,0.20676759060837088,0.7404963233884778,0.22752809505722005,90750.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7483314773547883,2.4,0.4898979485566356,1.4,1.019803902718557,5,"2238cb9f0cd72635a0c719a52cdf46c622684dc58c2891a4909a141f2dfd0755,b3c174673934f2eeb95c7ee59816b32c17876283c7787f56b9f8797e1e209804,b89233f7a7f0018788d355861d7a02b16ebe10013db5f903e04bfc1c3d4134ac,c52e635ba4323dcd1334224729834a940793e3b824f845d92a072f48db77e2f9,eb5f6458e051b016f1c1b0b97b9be30fc11d75c38a409d1a6358d0238f907ae7"
ACM,expander,5,0.8540362238883972,0.023289092692486156,0.8540306409280481,0.022604871258685277,272250.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.8,7.2,1.6,5.4,0.8,5,"2238cb9f0cd72635a0c719a52cdf46c622684dc58c2891a4909a141f2dfd0755,b3c174673934f2eeb95c7ee59816b32c17876283c7787f56b9f8797e1e209804,b89233f7a7f0018788d355861d7a02b16ebe10013db5f903e04bfc1c3d4134ac,c52e635ba4323dcd1334224729834a940793e3b824f845d92a072f48db77e2f9,eb5f6458e051b016f1c1b0b97b9be30fc11d75c38a409d1a6358d0238f907ae7"
ACM,expander_matched,5,0.6049423396587372,0.14521995594360132,0.6055432073782561,0.14569475735390336,90750.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4898979485566356,2.6,1.019803902718557,2.0,0.8944271909999159,5,"2238cb9f0cd72635a0c719a52cdf46c622684dc58c2891a4909a141f2dfd0755,b3c174673934f2eeb95c7ee59816b32c17876283c7787f56b9f8797e1e209804,b89233f7a7f0018788d355861d7a02b16ebe10013db5f903e04bfc1c3d4134ac,c52e635ba4323dcd1334224729834a940793e3b824f845d92a072f48db77e2f9,eb5f6458e051b016f1c1b0b97b9be30fc11d75c38a409d1a6358d0238f907ae7"
ACM,full_mesh,5,0.8596375465393067,0.020560762095462804,0.8597482281252969,0.019906915047525186,1905750.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,54.0,0.0,36.0,0.0,5,"2238cb9f0cd72635a0c719a52cdf46c622684dc58c2891a4909a141f2dfd0755,b3c174673934f2eeb95c7ee59816b32c17876283c7787f56b9f8797e1e209804,b89233f7a7f0018788d355861d7a02b16ebe10013db5f903e04bfc1c3d4134ac,c52e635ba4323dcd1334224729834a940793e3b824f845d92a072f48db77e2f9,eb5f6458e051b016f1c1b0b97b9be30fc11d75c38a409d1a6358d0238f907ae7"
