dataset,method,adaptive_min_edges,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,inference_comm_mean,inference_comm_std,final_edges_mean,final_edges_std,topology_update_comm_mean,topology_update_comm_std,topology_eval_count_mean,topology_eval_count_std,topology_update_time_mean,topology_update_time_std,useful_useful_edges_mean,useful_useful_edges_std,useful_noisy_edges_mean,useful_noisy_edges_std,noisy_noisy_edges_mean,noisy_noisy_edges_std,seeds,prediction_cache_fingerprints
DBLP,local_uniform_vote,5,0.6356265187263489,0.024268419593829697,0.5496863856651968,0.034412875733486184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
DBLP,local_reliability_vote,5,0.8808353781700134,0.012884625314412694,0.8699379804852277,0.014486949985729702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
DBLP,topk_reliability_vote,5,0.905651080608368,0.009271722268645269,0.8987127332254728,0.010751965983662997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
DBLP,fixed_ring,5,0.8668304324150086,0.011951235917405174,0.8512914839001872,0.013150497383307936,486840.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4898979485566356,4.8,0.9797958971132712,9.6,0.4898979485566356,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
DBLP,fixed_ring_matched,5,0.5100737035274505,0.2073066546112335,0.46847645486220707,0.2233331864509437,162280.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4898979485566356,1.6,1.019803902718557,3.0,1.0954451150103321,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
DBLP,random_regular,5,0.8727272510528564,0.015782299907803877,0.8593822949758169,0.017745924531045953,480348.8,12982.4,14.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9797958971132712,4.4,1.9595917942265424,9.6,1.2,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
DBLP,random_matched,5,0.6830466747283935,0.26685693328506704,0.6490723265598359,0.2977305383719696,162280.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,2.4,1.624807680927192,2.4,1.624807680927192,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
DBLP,expander,5,0.8668304324150086,0.011951235917405174,0.8512914839001872,0.013150497383307936,486840.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4898979485566356,4.8,0.9797958971132712,9.6,0.4898979485566356,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
DBLP,expander_matched,5,0.5262899160385132,0.2985713840952689,0.48085335490307624,0.3315482649872139,162280.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2649110640673518,4.0,1.2649110640673518,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
DBLP,full_mesh,5,0.8800982594490051,0.012945394009330886,0.8685330093730619,0.014609568627080455,3407880.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,0.0,66.0,0.0,5,"2e73289384f52343e400371d12c6bcc67ee3b087e7fd2261e59e72d04e0b5ac6,399a140f01408e25854b25f915b03f16234b3c77159f696f44d0b146390253b9,39e4cf6382caa8e42920e91ba9db9bec9c549cdaf71c70b6d61fa0cbe1032260,801d567b5ea67b4c764d91181c240c9589aac4b0bcac9428d249291a7c4e8e59,cacde95ed31c0aa1422a61a91fb46c818de87bafbb59d648ebefd33c8b25d4a4"
