dataset,method,adaptive_min_edges,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,inference_comm_mean,inference_comm_std,final_edges_mean,final_edges_std,topology_update_comm_mean,topology_update_comm_std,topology_eval_count_mean,topology_eval_count_std,topology_update_time_mean,topology_update_time_std,useful_useful_edges_mean,useful_useful_edges_std,useful_noisy_edges_mean,useful_noisy_edges_std,noisy_noisy_edges_mean,noisy_noisy_edges_std,seeds,prediction_cache_fingerprints
DBLP,local_uniform_vote,5,0.8405405282974243,0.011081043488161494,0.8109725638281842,0.017638724513577415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"1ab6888e8363020581fec72c60961e01f03cafb9e3c70cc55a105b2fb425c8ef,78bfe58b16d606feec1bcf97bddb590751b970680f17e80d62dcce048005e52e,963eaa78c8dbdcccbbaf318ecb4e1e1dfb489f9c3190f27db6c22ad7489e3847,a0719a1acdd3f0a35f622ee76313dc0c24484c81a7f7d96930cf5404741987d9,d692e642511f872498726a9c939144abc64e240a868adff628d41389b3072312"
DBLP,local_reliability_vote,5,0.9095822811126709,0.004635866346757406,0.9020122028076616,0.0059798179710403845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"1ab6888e8363020581fec72c60961e01f03cafb9e3c70cc55a105b2fb425c8ef,78bfe58b16d606feec1bcf97bddb590751b970680f17e80d62dcce048005e52e,963eaa78c8dbdcccbbaf318ecb4e1e1dfb489f9c3190f27db6c22ad7489e3847,a0719a1acdd3f0a35f622ee76313dc0c24484c81a7f7d96930cf5404741987d9,d692e642511f872498726a9c939144abc64e240a868adff628d41389b3072312"
DBLP,topk_reliability_vote,5,0.9142506003379822,0.005835058850122967,0.9078852210473629,0.007136681441221947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"1ab6888e8363020581fec72c60961e01f03cafb9e3c70cc55a105b2fb425c8ef,78bfe58b16d606feec1bcf97bddb590751b970680f17e80d62dcce048005e52e,963eaa78c8dbdcccbbaf318ecb4e1e1dfb489f9c3190f27db6c22ad7489e3847,a0719a1acdd3f0a35f622ee76313dc0c24484c81a7f7d96930cf5404741987d9,d692e642511f872498726a9c939144abc64e240a868adff628d41389b3072312"
DBLP,fixed_ring,5,0.9061424970626831,0.004570283410358988,0.8976666549443734,0.006374865703461528,486840.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.8,7.2,1.6,5.4,0.8,5,"1ab6888e8363020581fec72c60961e01f03cafb9e3c70cc55a105b2fb425c8ef,78bfe58b16d606feec1bcf97bddb590751b970680f17e80d62dcce048005e52e,963eaa78c8dbdcccbbaf318ecb4e1e1dfb489f9c3190f27db6c22ad7489e3847,a0719a1acdd3f0a35f622ee76313dc0c24484c81a7f7d96930cf5404741987d9,d692e642511f872498726a9c939144abc64e240a868adff628d41389b3072312"
DBLP,fixed_ring_matched,5,0.6778869569301605,0.16502460546058192,0.6426815853930985,0.18218375381393906,162280.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,2.0,0.8944271909999159,2.2,0.7483314773547883,5,"1ab6888e8363020581fec72c60961e01f03cafb9e3c70cc55a105b2fb425c8ef,78bfe58b16d606feec1bcf97bddb590751b970680f17e80d62dcce048005e52e,963eaa78c8dbdcccbbaf318ecb4e1e1dfb489f9c3190f27db6c22ad7489e3847,a0719a1acdd3f0a35f622ee76313dc0c24484c81a7f7d96930cf5404741987d9,d692e642511f872498726a9c939144abc64e240a868adff628d41389b3072312"
DBLP,random_regular,5,0.9085994839668274,0.004155182628963029,0.9000805808340121,0.005360434453528702,480348.8,12982.4,14.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.4898979485566356,7.0,0.8944271909999159,5.4,0.4898979485566356,5,"1ab6888e8363020581fec72c60961e01f03cafb9e3c70cc55a105b2fb425c8ef,78bfe58b16d606feec1bcf97bddb590751b970680f17e80d62dcce048005e52e,963eaa78c8dbdcccbbaf318ecb4e1e1dfb489f9c3190f27db6c22ad7489e3847,a0719a1acdd3f0a35f622ee76313dc0c24484c81a7f7d96930cf5404741987d9,d692e642511f872498726a9c939144abc64e240a868adff628d41389b3072312"
DBLP,random_matched,5,0.8847665667533875,0.03536205738296595,0.8699319082634299,0.04518172372589164,162280.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7483314773547883,2.4,0.4898979485566356,1.4,1.019803902718557,5,"1ab6888e8363020581fec72c60961e01f03cafb9e3c70cc55a105b2fb425c8ef,78bfe58b16d606feec1bcf97bddb590751b970680f17e80d62dcce048005e52e,963eaa78c8dbdcccbbaf318ecb4e1e1dfb489f9c3190f27db6c22ad7489e3847,a0719a1acdd3f0a35f622ee76313dc0c24484c81a7f7d96930cf5404741987d9,d692e642511f872498726a9c939144abc64e240a868adff628d41389b3072312"
DBLP,expander,5,0.9061424970626831,0.004570283410358988,0.8976666549443734,0.006374865703461528,486840.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.8,7.2,1.6,5.4,0.8,5,"1ab6888e8363020581fec72c60961e01f03cafb9e3c70cc55a105b2fb425c8ef,78bfe58b16d606feec1bcf97bddb590751b970680f17e80d62dcce048005e52e,963eaa78c8dbdcccbbaf318ecb4e1e1dfb489f9c3190f27db6c22ad7489e3847,a0719a1acdd3f0a35f622ee76313dc0c24484c81a7f7d96930cf5404741987d9,d692e642511f872498726a9c939144abc64e240a868adff628d41389b3072312"
DBLP,expander_matched,5,0.803931188583374,0.10241484038609033,0.7951548259828565,0.10038390866921365,162280.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4898979485566356,2.6,1.019803902718557,2.0,0.8944271909999159,5,"1ab6888e8363020581fec72c60961e01f03cafb9e3c70cc55a105b2fb425c8ef,78bfe58b16d606feec1bcf97bddb590751b970680f17e80d62dcce048005e52e,963eaa78c8dbdcccbbaf318ecb4e1e1dfb489f9c3190f27db6c22ad7489e3847,a0719a1acdd3f0a35f622ee76313dc0c24484c81a7f7d96930cf5404741987d9,d692e642511f872498726a9c939144abc64e240a868adff628d41389b3072312"
DBLP,full_mesh,5,0.9085994720458984,0.0043676621470384435,0.9012187871571637,0.005599942813506285,3407880.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,54.0,0.0,36.0,0.0,5,"1ab6888e8363020581fec72c60961e01f03cafb9e3c70cc55a105b2fb425c8ef,78bfe58b16d606feec1bcf97bddb590751b970680f17e80d62dcce048005e52e,963eaa78c8dbdcccbbaf318ecb4e1e1dfb489f9c3190f27db6c22ad7489e3847,a0719a1acdd3f0a35f622ee76313dc0c24484c81a7f7d96930cf5404741987d9,d692e642511f872498726a9c939144abc64e240a868adff628d41389b3072312"
