dataset,seed,method,adaptive_min_edges,best_val,test_at_best_val,macro_f1,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,final_edges,topology_update_comm,topology_eval_count,topology_update_time,useful_useful_edges,useful_noisy_edges,noisy_noisy_edges,selected_edges,useful_party_mask,party_view_names,party_reliabilities,party_permutation,prediction_cache_path,prediction_cache_fingerprint
IMDB,42,local_uniform_vote,5,0.30620551109313965,0.28125,0.10679014541961258,0.10679014541961258,0.2933467626571655,0.25604838132858276,0,0,0,0,0,0.0,0,0,0,[],"[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.25228890776634216, 0.24618515372276306, 0.29399797320365906, 0.2604272663593292, 0.25940996408462524, 0.2268565595149994, 0.27568668127059937, 0.23092573881149292, 0.40183112025260925, 0.2797558605670929, 0.2502543330192566, 0.2665310204029083, 0.22482196986675262, 0.23092573881149292, 0.23296032845973969]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful3_seed42_party_preds.pt,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc
IMDB,42,local_reliability_vote,5,0.3082400858402252,0.2641128897666931,0.1696366853396199,0.1696366853396199,0.2933467626571655,0.26008063554763794,0,0,0,0,0,0.0,0,0,0,[],"[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.25228890776634216, 0.24618515372276306, 0.29399797320365906, 0.2604272663593292, 0.25940996408462524, 0.2268565595149994, 0.27568668127059937, 0.23092573881149292, 0.40183112025260925, 0.2797558605670929, 0.2502543330192566, 0.2665310204029083, 0.22482196986675262, 0.23092573881149292, 0.23296032845973969]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful3_seed42_party_preds.pt,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc
IMDB,42,topk_reliability_vote,5,0.3458799719810486,0.30645161867141724,0.21765944021750488,0.21765944021750488,0.3296370804309845,0.3165322542190552,0,0,0,0,0,0.0,0,0,0,[],"[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.25228890776634216, 0.24618515372276306, 0.29399797320365906, 0.2604272663593292, 0.25940996408462524, 0.2268565595149994, 0.27568668127059937, 0.23092573881149292, 0.40183112025260925, 0.2797558605670929, 0.2502543330192566, 0.2665310204029083, 0.22482196986675262, 0.23092573881149292, 0.23296032845973969]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful3_seed42_party_preds.pt,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc
IMDB,42,fixed_ring,5,0.3082400858402252,0.2711693346500397,0.17800291842671903,0.17800291842671903,0.2933467626571655,0.25604838132858276,0,739800,15,0,0,0.0,0,6,9,"[[0,1],[0,14],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14]]","[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.25228890776634216, 0.24618515372276306, 0.29399797320365906, 0.2604272663593292, 0.25940996408462524, 0.2268565595149994, 0.27568668127059937, 0.23092573881149292, 0.40183112025260925, 0.2797558605670929, 0.2502543330192566, 0.2665310204029083, 0.22482196986675262, 0.23092573881149292, 0.23296032845973969]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful3_seed42_party_preds.pt,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc
IMDB,42,fixed_ring_matched,5,0.3143438398838043,0.29133063554763794,0.21384522254638397,0.21384522254638397,0.3084677457809448,0.28125,0,246600,5,0,0,0.0,0,2,3,"[[7,8],[8,9],[9,10],[10,11],[11,12]]","[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.25228890776634216, 0.24618515372276306, 0.29399797320365906, 0.2604272663593292, 0.25940996408462524, 0.2268565595149994, 0.27568668127059937, 0.23092573881149292, 0.40183112025260925, 0.2797558605670929, 0.2502543330192566, 0.2665310204029083, 0.22482196986675262, 0.23092573881149292, 0.23296032845973969]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful3_seed42_party_preds.pt,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc
IMDB,42,random_regular,5,0.30620551109313965,0.28125,0.10665795815865686,0.10665795815865686,0.2933467626571655,0.26008063554763794,0,739800,15,0,0,0.0,0,6,9,"[[0,2],[0,3],[1,3],[1,13],[2,7],[4,8],[4,10],[5,11],[5,13],[6,9],[6,12],[7,14],[8,14],[9,12],[10,11]]","[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.25228890776634216, 0.24618515372276306, 0.29399797320365906, 0.2604272663593292, 0.25940996408462524, 0.2268565595149994, 0.27568668127059937, 0.23092573881149292, 0.40183112025260925, 0.2797558605670929, 0.2502543330192566, 0.2665310204029083, 0.22482196986675262, 0.23092573881149292, 0.23296032845973969]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful3_seed42_party_preds.pt,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc
IMDB,42,random_matched,5,0.30518820881843567,0.2832661271095276,0.09722181294304469,0.09722181294304469,0.2963709533214569,0.27217739820480347,0,246600,5,0,0,0.0,0,2,3,"[[4,8],[5,11],[5,13],[6,12],[7,14]]","[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.25228890776634216, 0.24618515372276306, 0.29399797320365906, 0.2604272663593292, 0.25940996408462524, 0.2268565595149994, 0.27568668127059937, 0.23092573881149292, 0.40183112025260925, 0.2797558605670929, 0.2502543330192566, 0.2665310204029083, 0.22482196986675262, 0.23092573881149292, 0.23296032845973969]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful3_seed42_party_preds.pt,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc
IMDB,42,expander,5,0.3082400858402252,0.2711693346500397,0.17800291842671903,0.17800291842671903,0.2933467626571655,0.25604838132858276,0,739800,15,0,0,0.0,0,6,9,"[[0,1],[0,14],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14]]","[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.25228890776634216, 0.24618515372276306, 0.29399797320365906, 0.2604272663593292, 0.25940996408462524, 0.2268565595149994, 0.27568668127059937, 0.23092573881149292, 0.40183112025260925, 0.2797558605670929, 0.2502543330192566, 0.2665310204029083, 0.22482196986675262, 0.23092573881149292, 0.23296032845973969]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful3_seed42_party_preds.pt,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc
IMDB,42,expander_matched,5,0.2990844249725342,0.29133063554763794,0.09443148894071089,0.09443148894071089,0.2933467626571655,0.26008063554763794,0,246600,5,0,0,0.0,0,0,5,"[[0,1],[0,14],[11,12],[12,13],[13,14]]","[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.25228890776634216, 0.24618515372276306, 0.29399797320365906, 0.2604272663593292, 0.25940996408462524, 0.2268565595149994, 0.27568668127059937, 0.23092573881149292, 0.40183112025260925, 0.2797558605670929, 0.2502543330192566, 0.2665310204029083, 0.22482196986675262, 0.23092573881149292, 0.23296032845973969]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful3_seed42_party_preds.pt,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc
IMDB,42,full_mesh,5,0.30722278356552124,0.2701612710952759,0.17292676928517575,0.17292676928517575,0.2933467626571655,0.26108869910240173,0,5178600,105,0,0,0.0,3,36,66,"[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[0,7],[0,8],[0,9],[0,10],[0,11],[0,12],[0,13],[0,14],[1,2],[1,3],[1,4],[1,5],[1,6],[1,7],[1,8],[1,9],[1,10],[1,11],[1,12],[1,13],[1,14],[2,3],[2,4],[2,5],[2,6],[2,7],[2,8],[2,9],[2,10],[2,11],[2,12],[2,13],[2,14],[3,4],[3,5],[3,6],[3,7],[3,8],[3,9],[3,10],[3,11],[3,12],[3,13],[3,14],[4,5],[4,6],[4,7],[4,8],[4,9],[4,10],[4,11],[4,12],[4,13],[4,14],[5,6],[5,7],[5,8],[5,9],[5,10],[5,11],[5,12],[5,13],[5,14],[6,7],[6,8],[6,9],[6,10],[6,11],[6,12],[6,13],[6,14],[7,8],[7,9],[7,10],[7,11],[7,12],[7,13],[7,14],[8,9],[8,10],[8,11],[8,12],[8,13],[8,14],[9,10],[9,11],[9,12],[9,13],[9,14],[10,11],[10,12],[10,13],[10,14],[11,12],[11,13],[11,14],[12,13],[12,14],[13,14]]","[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.25228890776634216, 0.24618515372276306, 0.29399797320365906, 0.2604272663593292, 0.25940996408462524, 0.2268565595149994, 0.27568668127059937, 0.23092573881149292, 0.40183112025260925, 0.2797558605670929, 0.2502543330192566, 0.2665310204029083, 0.22482196986675262, 0.23092573881149292, 0.23296032845973969]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful3_seed42_party_preds.pt,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc
