dataset,method,adaptive_min_edges,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,inference_comm_mean,inference_comm_std,final_edges_mean,final_edges_std,topology_update_comm_mean,topology_update_comm_std,topology_eval_count_mean,topology_eval_count_std,topology_update_time_mean,topology_update_time_std,useful_useful_edges_mean,useful_useful_edges_std,useful_noisy_edges_mean,useful_noisy_edges_std,noisy_noisy_edges_mean,noisy_noisy_edges_std,seeds,prediction_cache_fingerprints
IMDB,local_uniform_vote,5,0.2901209592819214,0.00654543048389314,0.11642119097597059,0.037572638384846035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"56eab3d451033060ca2ced586d6d50f2d545e540f826db183bf4dfbd27e96ec9,754b2da2f326286c8f15c90886c500fc0cdeab8f599b22aa75ab7d92772f91c0,80b19fdf1552f1a202dc6a016e9d119231b3042de2533e1fbb368a05ed1f83f6,9bd909547e0e56e81451172fbe7b75761ffa9ac2ef5fb9391e1d6ee94283d535,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc"
IMDB,local_reliability_vote,5,0.2893145024776459,0.014011731514273438,0.16736909600176622,0.03408863142630073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"56eab3d451033060ca2ced586d6d50f2d545e540f826db183bf4dfbd27e96ec9,754b2da2f326286c8f15c90886c500fc0cdeab8f599b22aa75ab7d92772f91c0,80b19fdf1552f1a202dc6a016e9d119231b3042de2533e1fbb368a05ed1f83f6,9bd909547e0e56e81451172fbe7b75761ffa9ac2ef5fb9391e1d6ee94283d535,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc"
IMDB,topk_reliability_vote,5,0.3044354796409607,0.008239045007634867,0.22059515251448292,0.007658343999846246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"56eab3d451033060ca2ced586d6d50f2d545e540f826db183bf4dfbd27e96ec9,754b2da2f326286c8f15c90886c500fc0cdeab8f599b22aa75ab7d92772f91c0,80b19fdf1552f1a202dc6a016e9d119231b3042de2533e1fbb368a05ed1f83f6,9bd909547e0e56e81451172fbe7b75761ffa9ac2ef5fb9391e1d6ee94283d535,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc"
IMDB,fixed_ring,5,0.2893145024776459,0.01104279276090412,0.16903981112699007,0.03461618041153168,739800.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4898979485566356,4.8,0.9797958971132712,9.6,0.4898979485566356,5,"56eab3d451033060ca2ced586d6d50f2d545e540f826db183bf4dfbd27e96ec9,754b2da2f326286c8f15c90886c500fc0cdeab8f599b22aa75ab7d92772f91c0,80b19fdf1552f1a202dc6a016e9d119231b3042de2533e1fbb368a05ed1f83f6,9bd909547e0e56e81451172fbe7b75761ffa9ac2ef5fb9391e1d6ee94283d535,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc"
IMDB,fixed_ring_matched,5,0.28810482621192934,0.01050324024378694,0.14579348565969466,0.047229007316649634,246600.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4898979485566356,1.6,1.019803902718557,3.0,1.0954451150103321,5,"56eab3d451033060ca2ced586d6d50f2d545e540f826db183bf4dfbd27e96ec9,754b2da2f326286c8f15c90886c500fc0cdeab8f599b22aa75ab7d92772f91c0,80b19fdf1552f1a202dc6a016e9d119231b3042de2533e1fbb368a05ed1f83f6,9bd909547e0e56e81451172fbe7b75761ffa9ac2ef5fb9391e1d6ee94283d535,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc"
IMDB,random_regular,5,0.2895161211490631,0.006451606750488281,0.13328915595935895,0.04161238276036375,729936.0,19728.0,14.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9797958971132712,4.4,1.9595917942265424,9.6,1.2,5,"56eab3d451033060ca2ced586d6d50f2d545e540f826db183bf4dfbd27e96ec9,754b2da2f326286c8f15c90886c500fc0cdeab8f599b22aa75ab7d92772f91c0,80b19fdf1552f1a202dc6a016e9d119231b3042de2533e1fbb368a05ed1f83f6,9bd909547e0e56e81451172fbe7b75761ffa9ac2ef5fb9391e1d6ee94283d535,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc"
IMDB,random_matched,5,0.30040321946144105,0.011893453871110425,0.15879739109178267,0.055739835398241164,246600.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,2.4,1.624807680927192,2.4,1.624807680927192,5,"56eab3d451033060ca2ced586d6d50f2d545e540f826db183bf4dfbd27e96ec9,754b2da2f326286c8f15c90886c500fc0cdeab8f599b22aa75ab7d92772f91c0,80b19fdf1552f1a202dc6a016e9d119231b3042de2533e1fbb368a05ed1f83f6,9bd909547e0e56e81451172fbe7b75761ffa9ac2ef5fb9391e1d6ee94283d535,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc"
IMDB,expander,5,0.2893145024776459,0.01104279276090412,0.16903981112699007,0.03461618041153168,739800.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4898979485566356,4.8,0.9797958971132712,9.6,0.4898979485566356,5,"56eab3d451033060ca2ced586d6d50f2d545e540f826db183bf4dfbd27e96ec9,754b2da2f326286c8f15c90886c500fc0cdeab8f599b22aa75ab7d92772f91c0,80b19fdf1552f1a202dc6a016e9d119231b3042de2533e1fbb368a05ed1f83f6,9bd909547e0e56e81451172fbe7b75761ffa9ac2ef5fb9391e1d6ee94283d535,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc"
IMDB,expander_matched,5,0.28951611518859866,0.007896437917399635,0.12339382417932228,0.04011633623402606,246600.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2649110640673518,4.0,1.2649110640673518,5,"56eab3d451033060ca2ced586d6d50f2d545e540f826db183bf4dfbd27e96ec9,754b2da2f326286c8f15c90886c500fc0cdeab8f599b22aa75ab7d92772f91c0,80b19fdf1552f1a202dc6a016e9d119231b3042de2533e1fbb368a05ed1f83f6,9bd909547e0e56e81451172fbe7b75761ffa9ac2ef5fb9391e1d6ee94283d535,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc"
IMDB,full_mesh,5,0.2903225660324097,0.011927578907860757,0.167859748774141,0.03410203619755609,5178600.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,0.0,66.0,0.0,5,"56eab3d451033060ca2ced586d6d50f2d545e540f826db183bf4dfbd27e96ec9,754b2da2f326286c8f15c90886c500fc0cdeab8f599b22aa75ab7d92772f91c0,80b19fdf1552f1a202dc6a016e9d119231b3042de2533e1fbb368a05ed1f83f6,9bd909547e0e56e81451172fbe7b75761ffa9ac2ef5fb9391e1d6ee94283d535,bdd8431a38690aecf36946da0f5a310fe1f305c08c7bd35f63c2ccc6736a93dc"
