dataset,seed,method,adaptive_min_edges,best_val,test_at_best_val,macro_f1,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,final_edges,topology_update_comm,topology_eval_count,topology_update_time,useful_useful_edges,useful_noisy_edges,noisy_noisy_edges,selected_edges,useful_party_mask,party_view_names,party_reliabilities,party_permutation,prediction_cache_path,prediction_cache_fingerprint
IMDB,42,local_uniform_vote,5,0.3214648962020874,0.2701612710952759,0.1715717336075216,0.1715717336075216,0.2943548262119293,0.28931450843811035,0,0,0,0,0,0.0,0,0,0,[],"[false, false, true, false, true, false, true, true, true, false, false, false, false, true, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""MAM"", ""RANDOM"", ""KNN"", ""MDM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM""]","[0.238046795129776, 0.26449644565582275, 0.29399797320365906, 0.24109868705272675, 0.2909460961818695, 0.25839269161224365, 0.2746693789958954, 0.29399797320365906, 0.4048830270767212, 0.26958292722702026, 0.2207528054714203, 0.26958292722702026, 0.2319430410861969, 0.27568668127059937, 0.24008138477802277]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful6_seed42_party_preds.pt,4b114f1e3c15c9f9acc3785d5ee83d59f40ee0ea7948996435337799f6e48712
IMDB,42,local_reliability_vote,5,0.32553407549858093,0.2802419364452362,0.18149014363304633,0.18149014363304633,0.2963709533214569,0.29032257199287415,0,0,0,0,0,0.0,0,0,0,[],"[false, false, true, false, true, false, true, true, true, false, false, false, false, true, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""MAM"", ""RANDOM"", ""KNN"", ""MDM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM""]","[0.238046795129776, 0.26449644565582275, 0.29399797320365906, 0.24109868705272675, 0.2909460961818695, 0.25839269161224365, 0.2746693789958954, 0.29399797320365906, 0.4048830270767212, 0.26958292722702026, 0.2207528054714203, 0.26958292722702026, 0.2319430410861969, 0.27568668127059937, 0.24008138477802277]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful6_seed42_party_preds.pt,4b114f1e3c15c9f9acc3785d5ee83d59f40ee0ea7948996435337799f6e48712
IMDB,42,topk_reliability_vote,5,0.39674466848373413,0.38407257199287415,0.25686435645480077,0.25686435645480077,0.3921370804309845,0.38104838132858276,0,0,0,0,0,0.0,0,0,0,[],"[false, false, true, false, true, false, true, true, true, false, false, false, false, true, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""MAM"", ""RANDOM"", ""KNN"", ""MDM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM""]","[0.238046795129776, 0.26449644565582275, 0.29399797320365906, 0.24109868705272675, 0.2909460961818695, 0.25839269161224365, 0.2746693789958954, 0.29399797320365906, 0.4048830270767212, 0.26958292722702026, 0.2207528054714203, 0.26958292722702026, 0.2319430410861969, 0.27568668127059937, 0.24008138477802277]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful6_seed42_party_preds.pt,4b114f1e3c15c9f9acc3785d5ee83d59f40ee0ea7948996435337799f6e48712
IMDB,42,fixed_ring,5,0.3275686800479889,0.27620968222618103,0.1743334604457632,0.1743334604457632,0.2973790168762207,0.28931450843811035,0,739800,15,0,0,0.0,2,8,5,"[[0,1],[0,14],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14]]","[false, false, true, false, true, false, true, true, true, false, false, false, false, true, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""MAM"", ""RANDOM"", ""KNN"", ""MDM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM""]","[0.238046795129776, 0.26449644565582275, 0.29399797320365906, 0.24109868705272675, 0.2909460961818695, 0.25839269161224365, 0.2746693789958954, 0.29399797320365906, 0.4048830270767212, 0.26958292722702026, 0.2207528054714203, 0.26958292722702026, 0.2319430410861969, 0.27568668127059937, 0.24008138477802277]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful6_seed42_party_preds.pt,4b114f1e3c15c9f9acc3785d5ee83d59f40ee0ea7948996435337799f6e48712
IMDB,42,fixed_ring_matched,5,0.333672434091568,0.28729838132858276,0.19708230756910936,0.19708230756910936,0.30645161867141724,0.2953628897666931,0,246600,5,0,0,0.0,1,1,3,"[[7,8],[8,9],[9,10],[10,11],[11,12]]","[false, false, true, false, true, false, true, true, true, false, false, false, false, true, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""MAM"", ""RANDOM"", ""KNN"", ""MDM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM""]","[0.238046795129776, 0.26449644565582275, 0.29399797320365906, 0.24109868705272675, 0.2909460961818695, 0.25839269161224365, 0.2746693789958954, 0.29399797320365906, 0.4048830270767212, 0.26958292722702026, 0.2207528054714203, 0.26958292722702026, 0.2319430410861969, 0.27568668127059937, 0.24008138477802277]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful6_seed42_party_preds.pt,4b114f1e3c15c9f9acc3785d5ee83d59f40ee0ea7948996435337799f6e48712
IMDB,42,random_regular,5,0.3265513777732849,0.27520161867141724,0.17383766633773715,0.17383766633773715,0.2963709533214569,0.29032257199287415,0,739800,15,0,0,0.0,2,8,5,"[[0,2],[0,3],[1,3],[1,13],[2,7],[4,8],[4,10],[5,11],[5,13],[6,9],[6,12],[7,14],[8,14],[9,12],[10,11]]","[false, false, true, false, true, false, true, true, true, false, false, false, false, true, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""MAM"", ""RANDOM"", ""KNN"", ""MDM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM""]","[0.238046795129776, 0.26449644565582275, 0.29399797320365906, 0.24109868705272675, 0.2909460961818695, 0.25839269161224365, 0.2746693789958954, 0.29399797320365906, 0.4048830270767212, 0.26958292722702026, 0.2207528054714203, 0.26958292722702026, 0.2319430410861969, 0.27568668127059937, 0.24008138477802277]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful6_seed42_party_preds.pt,4b114f1e3c15c9f9acc3785d5ee83d59f40ee0ea7948996435337799f6e48712
IMDB,42,random_matched,5,0.33672431111335754,0.2832661271095276,0.183247540144424,0.183247540144424,0.2943548262119293,0.2651209533214569,0,246600,5,0,0,0.0,1,3,1,"[[4,8],[5,11],[5,13],[6,12],[7,14]]","[false, false, true, false, true, false, true, true, true, false, false, false, false, true, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""MAM"", ""RANDOM"", ""KNN"", ""MDM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM""]","[0.238046795129776, 0.26449644565582275, 0.29399797320365906, 0.24109868705272675, 0.2909460961818695, 0.25839269161224365, 0.2746693789958954, 0.29399797320365906, 0.4048830270767212, 0.26958292722702026, 0.2207528054714203, 0.26958292722702026, 0.2319430410861969, 0.27568668127059937, 0.24008138477802277]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful6_seed42_party_preds.pt,4b114f1e3c15c9f9acc3785d5ee83d59f40ee0ea7948996435337799f6e48712
IMDB,42,expander,5,0.3275686800479889,0.27620968222618103,0.1743334604457632,0.1743334604457632,0.2973790168762207,0.28931450843811035,0,739800,15,0,0,0.0,2,8,5,"[[0,1],[0,14],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14]]","[false, false, true, false, true, false, true, true, true, false, false, false, false, true, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""MAM"", ""RANDOM"", ""KNN"", ""MDM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM""]","[0.238046795129776, 0.26449644565582275, 0.29399797320365906, 0.24109868705272675, 0.2909460961818695, 0.25839269161224365, 0.2746693789958954, 0.29399797320365906, 0.4048830270767212, 0.26958292722702026, 0.2207528054714203, 0.26958292722702026, 0.2319430410861969, 0.27568668127059937, 0.24008138477802277]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful6_seed42_party_preds.pt,4b114f1e3c15c9f9acc3785d5ee83d59f40ee0ea7948996435337799f6e48712
IMDB,42,expander_matched,5,0.30620551109313965,0.27620968222618103,0.16705000425930655,0.16705000425930655,0.2943548262119293,0.28830644488334656,0,246600,5,0,0,0.0,0,2,3,"[[0,1],[0,14],[11,12],[12,13],[13,14]]","[false, false, true, false, true, false, true, true, true, false, false, false, false, true, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""MAM"", ""RANDOM"", ""KNN"", ""MDM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM""]","[0.238046795129776, 0.26449644565582275, 0.29399797320365906, 0.24109868705272675, 0.2909460961818695, 0.25839269161224365, 0.2746693789958954, 0.29399797320365906, 0.4048830270767212, 0.26958292722702026, 0.2207528054714203, 0.26958292722702026, 0.2319430410861969, 0.27568668127059937, 0.24008138477802277]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful6_seed42_party_preds.pt,4b114f1e3c15c9f9acc3785d5ee83d59f40ee0ea7948996435337799f6e48712
IMDB,42,full_mesh,5,0.32553407549858093,0.2802419364452362,0.18149014363304633,0.18149014363304633,0.2963709533214569,0.29032257199287415,0,5178600,105,0,0,0.0,15,54,36,"[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[0,7],[0,8],[0,9],[0,10],[0,11],[0,12],[0,13],[0,14],[1,2],[1,3],[1,4],[1,5],[1,6],[1,7],[1,8],[1,9],[1,10],[1,11],[1,12],[1,13],[1,14],[2,3],[2,4],[2,5],[2,6],[2,7],[2,8],[2,9],[2,10],[2,11],[2,12],[2,13],[2,14],[3,4],[3,5],[3,6],[3,7],[3,8],[3,9],[3,10],[3,11],[3,12],[3,13],[3,14],[4,5],[4,6],[4,7],[4,8],[4,9],[4,10],[4,11],[4,12],[4,13],[4,14],[5,6],[5,7],[5,8],[5,9],[5,10],[5,11],[5,12],[5,13],[5,14],[6,7],[6,8],[6,9],[6,10],[6,11],[6,12],[6,13],[6,14],[7,8],[7,9],[7,10],[7,11],[7,12],[7,13],[7,14],[8,9],[8,10],[8,11],[8,12],[8,13],[8,14],[9,10],[9,11],[9,12],[9,13],[9,14],[10,11],[10,12],[10,13],[10,14],[11,12],[11,13],[11,14],[12,13],[12,14],[13,14]]","[false, false, true, false, true, false, true, true, true, false, false, false, false, true, false]","[""RANDOM"", ""RANDOM"", ""MDM"", ""RANDOM"", ""MAM"", ""RANDOM"", ""KNN"", ""MDM"", ""MAM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM""]","[0.238046795129776, 0.26449644565582275, 0.29399797320365906, 0.24109868705272675, 0.2909460961818695, 0.25839269161224365, 0.2746693789958954, 0.29399797320365906, 0.4048830270767212, 0.26958292722702026, 0.2207528054714203, 0.26958292722702026, 0.2319430410861969, 0.27568668127059937, 0.24008138477802277]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\imdb_hard_useful6_seed42_party_preds.pt,4b114f1e3c15c9f9acc3785d5ee83d59f40ee0ea7948996435337799f6e48712
