dataset,setting,seed,method,source_method,topology_objective,joint_lambda,active_readout_acc,local_post_consensus_mean_acc,active_party_post_consensus_acc,local_worst_acc,local_best_acc,num_edges,peer_comm,readout_comm,total_comm,control_plane_comm,topology_eval_count,topology_update_time
ACM,hard,42,Active Local Only,active_local_only,active,0.5,0.3558484315872192,0.4194398581981658,0.3558484315872192,0.2899505794048309,0.8121910691261292,0,0,0,0,0,0,0.0
ACM,hard,42,Global Top-k Oracle,global_topk_reliability,active,0.5,0.8566721677780151,0.4232839008172353,0.3690280020236969,0.313014805316925,0.8171334266662598,0,0,45375,45375,0,0,0.0
ACM,hard,42,Full Mesh,full_mesh,active,0.5,0.7759472727775574,0.4400878508885701,0.3871499001979828,0.3163097202777862,0.8105436563491821,105,1905750,136125,2041875,0,0,0.0
ACM,hard,42,Best Matched Sparse,best_matched_sparse,active,0.5,0.7084019780158997,0.4221856037775675,0.3772652447223663,0.3080724775791168,0.8072487711906433,5,90750,54450,145200,4077000,900,0.0
ACM,hard,43,Active Local Only,active_local_only,active,0.5,0.3492586314678192,0.3410214046637217,0.3492586314678192,0.2850082218647003,0.3607907593250274,0,0,0,0,0,0,0.0
ACM,hard,43,Global Top-k Oracle,global_topk_reliability,active,0.5,0.8879736065864563,0.4187808811664581,0.3673805594444275,0.313014805316925,0.8171334266662598,0,0,45375,45375,0,0,0.0
ACM,hard,43,Full Mesh,full_mesh,active,0.5,0.8270180821418762,0.4311916410923004,0.3887973427772522,0.3080724775791168,0.8434925675392151,105,1905750,136125,2041875,0,0,0.0
ACM,hard,43,Best Matched Sparse,best_matched_sparse,active,0.5,0.876441478729248,0.4253706693649292,0.3789126873016357,0.304777592420578,0.8583195805549622,5,90750,54450,145200,4077000,900,0.0
ACM,hard,44,Active Local Only,active_local_only,active,0.5,0.3492586314678192,0.3935200393199921,0.3492586314678192,0.2915980219841003,0.8187808990478516,0,0,0,0,0,0,0.0
ACM,hard,44,Global Top-k Oracle,global_topk_reliability,active,0.5,0.8270180821418762,0.3974739054838816,0.3476111888885498,0.3080724775791168,0.815485954284668,0,0,45375,45375,0,0,0.0
ACM,hard,44,Full Mesh,full_mesh,active,0.5,0.7051070928573608,0.4193300286928813,0.3558484315872192,0.3212520480155945,0.8204283118247986,105,1905750,136125,2041875,0,0,0.0
ACM,hard,44,Best Matched Sparse,best_matched_sparse,active,0.5,0.7957166433334351,0.4035145421822866,0.3476111888885498,0.3014827072620392,0.8204283118247986,5,90750,63525,154275,4077000,900,0.0
ACM,hard,45,Active Local Only,active_local_only,active,0.5,0.3657331168651581,0.4012081166108449,0.3657331168651581,0.3196046054363251,0.830312967300415,0,0,0,0,0,0,0.0
ACM,hard,45,Global Top-k Oracle,global_topk_reliability,active,0.5,0.8484349250793457,0.4014277776082356,0.3739703297615051,0.304777592420578,0.8418450951576233,0,0,45375,45375,0,0,0.0
ACM,hard,45,Full Mesh,full_mesh,active,0.5,0.7182866334915161,0.424382197856903,0.3706754446029663,0.3228994905948639,0.830312967300415,105,1905750,136125,2041875,0,0,0.0
ACM,hard,45,Best Matched Sparse,best_matched_sparse,active,0.5,0.7578253746032715,0.4027457316716512,0.3706754446029663,0.298187792301178,0.8352553248405457,5,90750,63525,154275,4077000,900,0.0
ACM,hard,46,Active Local Only,active_local_only,active,0.5,0.3294892907142639,0.3361888964970906,0.3294892907142639,0.3080724775791168,0.3640856444835663,0,0,0,0,0,0,0.0
ACM,hard,46,Global Top-k Oracle,global_topk_reliability,active,0.5,0.8682042360305786,0.4187808791796366,0.344316303730011,0.313014805316925,0.8336079120635986,0,0,45375,45375,0,0,0.0
ACM,hard,46,Full Mesh,full_mesh,active,0.5,0.780889630317688,0.4384404083093007,0.3426688611507416,0.3196046054363251,0.8434925675392151,105,1905750,136125,2041875,0,0,0.0
ACM,hard,46,Best Matched Sparse,best_matched_sparse,active,0.5,0.7051070928573608,0.4240527113278707,0.3212520480155945,0.3212520480155945,0.8319604396820068,5,90750,54450,145200,4077000,900,0.0
ACM,hard,42,TA-DVFG-active,adaptive_graph_val,active,0.5,0.8632619380950928,0.4353651742140452,0.3624382019042969,0.298187792301178,0.8171334266662598,5,90750,54450,145200,203850,9357,28.96417399996426
ACM,hard,43,TA-DVFG-active,adaptive_graph_val,active,0.5,0.8896210789680481,0.4342668791611989,0.3805601298809051,0.313014805316925,0.8550246953964233,5,90750,54450,145200,203850,8939,27.97081059985794
ACM,hard,44,TA-DVFG-active,adaptive_graph_val,active,0.5,0.8418450951576233,0.433498070637385,0.3360790610313415,0.3080724775791168,0.8270180821418762,5,90750,54450,145200,203850,9192,28.944292299973316
ACM,hard,45,TA-DVFG-active,adaptive_graph_val,active,0.5,0.8550246953964233,0.4360241552193959,0.3657331168651581,0.313014805316925,0.8401976823806763,5,90750,45375,136125,203850,9016,28.59958160010865
ACM,hard,46,TA-DVFG-active,adaptive_graph_val,active,0.5,0.8945633769035339,0.4447007040182749,0.3278418481349945,0.3163097202777862,0.859967052936554,5,90750,45375,136125,203850,9115,28.694714499928523
ACM,hard,42,TA-DVFG-joint-0.25,adaptive_graph_val,joint,0.25,0.8682042360305786,0.4403075158596038,0.3673805594444275,0.3031301498413086,0.8649093508720398,5,90750,45375,136125,203850,9281,29.245256499911196
ACM,hard,43,TA-DVFG-joint-0.25,adaptive_graph_val,joint,0.25,0.8813838362693787,0.4377814292907714,0.3953871428966522,0.3064250349998474,0.8484349250793457,5,90750,45375,136125,203850,8785,27.71717189991614
ACM,hard,44,TA-DVFG-joint-0.25,adaptive_graph_val,joint,0.25,0.8385502099990845,0.4345963617165883,0.3574958741664886,0.2998352348804474,0.8682042360305786,5,90750,45375,136125,203850,9126,28.59946620010305
ACM,hard,45,TA-DVFG-joint-0.25,adaptive_graph_val,joint,0.25,0.8500823378562927,0.441295983393987,0.3657331168651581,0.3245469331741333,0.8632619380950928,5,90750,45375,136125,203850,9071,28.30508449999616
ACM,hard,46,TA-DVFG-joint-0.25,adaptive_graph_val,joint,0.25,0.8830313086509705,0.4429434279600779,0.3212520480155945,0.3146622776985168,0.8665568232536316,5,90750,54450,145200,203850,8972,27.944951399986167
ACM,hard,42,TA-DVFG-joint-0.5,adaptive_graph_val,joint,0.5,0.8682042360305786,0.4403075158596038,0.3673805594444275,0.3031301498413086,0.8649093508720398,5,90750,45375,136125,203850,9490,29.43338189990027
ACM,hard,43,TA-DVFG-joint-0.5,adaptive_graph_val,joint,0.5,0.8896210789680481,0.4342668791611989,0.3805601298809051,0.313014805316925,0.8550246953964233,5,90750,54450,145200,203850,8829,28.320395599934272
ACM,hard,44,TA-DVFG-joint-0.5,adaptive_graph_val,joint,0.5,0.8500823378562927,0.4349258522192637,0.3574958741664886,0.2998352348804474,0.830312967300415,5,90750,45375,136125,203850,9016,28.307093400042504
ACM,hard,45,TA-DVFG-joint-0.5,adaptive_graph_val,joint,0.5,0.8467874526977539,0.4351455112298329,0.3640856444835663,0.2998352348804474,0.8401976823806763,5,90750,45375,136125,203850,8928,27.790771700034384
ACM,hard,46,TA-DVFG-joint-0.5,adaptive_graph_val,joint,0.5,0.8945633769035339,0.4447007040182749,0.3278418481349945,0.3163097202777862,0.859967052936554,5,90750,45375,136125,203850,9137,28.161360000027344
ACM,hard,42,TA-DVFG-joint-0.75,adaptive_graph_val,joint,0.75,0.8682042360305786,0.4403075158596038,0.3673805594444275,0.3031301498413086,0.8649093508720398,5,90750,45375,136125,203850,9510,28.370062000176404
ACM,hard,43,TA-DVFG-joint-0.75,adaptive_graph_val,joint,0.75,0.8896210789680481,0.4342668791611989,0.3805601298809051,0.313014805316925,0.8550246953964233,5,90750,54450,145200,203850,8972,27.18578210019041
ACM,hard,44,TA-DVFG-joint-0.75,adaptive_graph_val,joint,0.75,0.8401976823806763,0.4336078981558481,0.3360790610313415,0.3080724775791168,0.8385502099990845,6,108900,54450,163350,203850,9214,28.04224530007923
ACM,hard,45,TA-DVFG-joint-0.75,adaptive_graph_val,joint,0.75,0.8500823378562927,0.4371224482854207,0.3673805594444275,0.304777592420578,0.8583195805549622,5,90750,45375,136125,203850,8951,27.064241599931847
ACM,hard,46,TA-DVFG-joint-0.75,adaptive_graph_val,joint,0.75,0.8945633769035339,0.4447007040182749,0.3278418481349945,0.3163097202777862,0.859967052936554,5,90750,45375,136125,203850,9203,28.082233999914024
ACM,hard,42,TA-DVFG-local,adaptive_graph_val,local_mean,0.5,0.830312967300415,0.4350356817245483,0.3920922577381134,0.298187792301178,0.8088961839675903,8,145200,99825,245025,203850,11386,38.56432510004379
ACM,hard,43,TA-DVFG-local,adaptive_graph_val,local_mean,0.5,0.8846787214279175,0.442613939444224,0.3953871428966522,0.304777592420578,0.8550246953964233,6,108900,72600,181500,203850,10208,34.07310369994957
ACM,hard,44,TA-DVFG-local,adaptive_graph_val,local_mean,0.5,0.8369027972221375,0.4350356837113698,0.3344316184520721,0.3014827072620392,0.8797363638877869,5,90750,54450,145200,203850,11201,38.3019595000078
ACM,hard,45,TA-DVFG-local,adaptive_graph_val,local_mean,0.5,0.8418450951576233,0.4384404102961222,0.3542009890079498,0.304777592420578,0.859967052936554,7,127050,90750,217800,203850,11530,39.83770520007238
ACM,hard,46,TA-DVFG-local,adaptive_graph_val,local_mean,0.5,0.8434925675392151,0.4411861538887024,0.3344316184520721,0.3163097202777862,0.8369027972221375,7,127050,90750,217800,203850,10693,36.63592650002101
DBLP,hard,42,Active Local Only,active_local_only,active,0.5,0.2764127850532532,0.3162162105242411,0.2764127850532532,0.2457002401351928,0.6928746700286865,0,0,0,0,0,0,0.0
DBLP,hard,42,Global Top-k Oracle,global_topk_reliability,active,0.5,0.885749340057373,0.3248976230621337,0.2653562724590301,0.2420147359371185,0.8771498799324036,0,0,81140,81140,0,0,0.0
DBLP,hard,42,Full Mesh,full_mesh,active,0.5,0.8488943576812744,0.3740376631418864,0.296068787574768,0.2813267707824707,0.8808353543281555,105,3407880,243420,3651300,0,0,0.0
DBLP,hard,42,Best Matched Sparse,best_matched_sparse,active,0.5,0.3882063925266266,0.3334152311086654,0.2616707682609558,0.2420147359371185,0.8783783912658691,5,162280,97368,259648,7272000,900,0.0
DBLP,hard,43,Active Local Only,active_local_only,active,0.5,0.2530712485313415,0.3343161245187123,0.2530712485313415,0.2457002401351928,0.9041768908500672,0,0,0,0,0,0,0.0
DBLP,hard,43,Global Top-k Oracle,global_topk_reliability,active,0.5,0.92014741897583,0.338411138455073,0.2800982892513275,0.2432432323694229,0.92014741897583,0,0,81140,81140,0,0,0.0
DBLP,hard,43,Full Mesh,full_mesh,active,0.5,0.898034393787384,0.3839475711186726,0.3218673169612884,0.2911547720432281,0.9176903963088988,105,3407880,243420,3651300,0,0,0.0
DBLP,hard,43,Best Matched Sparse,best_matched_sparse,active,0.5,0.9090908765792848,0.3525798499584198,0.296068787574768,0.2346437275409698,0.9213759303092957,5,162280,113596,275876,7272000,900,0.0
DBLP,hard,44,Active Local Only,active_local_only,active,0.5,0.2886977791786194,0.2894348820050557,0.2886977791786194,0.2641277611255646,0.3083538115024566,0,0,0,0,0,0,0.0
DBLP,hard,44,Global Top-k Oracle,global_topk_reliability,active,0.5,0.8992629051208496,0.3378378321727117,0.285012274980545,0.2444717437028885,0.8882063627243042,0,0,81140,81140,0,0,0.0
DBLP,hard,44,Full Mesh,full_mesh,active,0.5,0.875921368598938,0.378214563926061,0.3218673169612884,0.2936117947101593,0.8869778513908386,105,3407880,243420,3651300,0,0,0.0
DBLP,hard,44,Best Matched Sparse,best_matched_sparse,active,0.5,0.898034393787384,0.3538083483775456,0.285012274980545,0.2444717437028885,0.8882063627243042,5,162280,113596,275876,7272000,900,0.0
DBLP,hard,45,Active Local Only,active_local_only,active,0.5,0.2641277611255646,0.3379197319348653,0.2641277611255646,0.2579852640628814,0.834152340888977,0,0,0,0,0,0,0.0
DBLP,hard,45,Global Top-k Oracle,global_topk_reliability,active,0.5,0.9066339135169984,0.3329238305489222,0.2665847539901733,0.2346437275409698,0.898034393787384,0,0,81140,81140,0,0,0.0
DBLP,hard,45,Full Mesh,full_mesh,active,0.5,0.8734643459320068,0.3779688676198323,0.3022112846374511,0.2813267707824707,0.901719868183136,105,3407880,243420,3651300,0,0,0.0
DBLP,hard,45,Best Matched Sparse,best_matched_sparse,active,0.5,0.9004913568496704,0.3453726390997568,0.2665847539901733,0.2407862395048141,0.8955773711204529,5,162280,97368,259648,7272000,900,0.0
DBLP,hard,46,Active Local Only,active_local_only,active,0.5,0.2702702581882477,0.2894348839918772,0.2702702581882477,0.2346437275409698,0.4164619147777557,0,0,0,0,0,0,0.0
DBLP,hard,46,Global Top-k Oracle,global_topk_reliability,active,0.5,0.898034393787384,0.3323505302270254,0.2727272808551788,0.2309582233428955,0.8845208883285522,0,0,81140,81140,0,0,0.0
DBLP,hard,46,Full Mesh,full_mesh,active,0.5,0.875921368598938,0.3721539656321208,0.2936117947101593,0.2764127850532532,0.8808353543281555,105,3407880,243420,3651300,0,0,0.0
