dataset,setting,method,source_method,topology_objective,joint_lambda,active_readout_acc_mean,active_readout_acc_std,local_post_consensus_mean_acc_mean,local_post_consensus_mean_acc_std,active_party_post_consensus_acc_mean,active_party_post_consensus_acc_std,local_worst_acc_mean,local_worst_acc_std,local_best_acc_mean,local_best_acc_std,num_edges_mean,num_edges_std,peer_comm_mean,peer_comm_std,readout_comm_mean,readout_comm_std,total_comm_mean,total_comm_std,control_plane_comm_mean,control_plane_comm_std,topology_eval_count_mean,topology_eval_count_std,topology_update_time_mean,topology_update_time_std,runs
ACM,hard,Active Local Only,active_local_only,active,0.5,0.34991762042045593,0.01326168952615458,0.378275663057963,0.03745649170427057,0.34991762042045593,0.01326168952615458,0.2988467812538147,0.014484417331505631,0.6372322678565979,0.2509380549189889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ACM,hard,Best Matched Sparse,best_matched_sparse,active,0.5,0.768698513507843,0.07095120156891162,0.41557385166486105,0.011418970750356168,0.3591433227062225,0.024601628389073503,0.3067545235157013,0.008902308779291553,0.8306424856185913,0.018977829787306708,5.0,0.0,90750.0,0.0,58080.0,4970.582209359382,148830.0,4970.582209359382,4077000.0,0.0,900.0,0.0,0.0,0.0,5
ACM,hard,Full Mesh,full_mesh,active,0.5,0.7614497423171998,0.04981175296538174,0.43068642536799107,0.00890894671320927,0.36902799606323244,0.019940219900815806,0.3176276683807373,0.00587101302532465,0.8296540141105652,0.01443749197173164,105.0,0.0,1905750.0,0.0,136125.0,0.0,2041875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ACM,hard,Global Top-k Oracle,global_topk_reliability,active,0.5,0.8576606035232544,0.022666608732562297,0.4119494688510894,0.011641022621560545,0.3604612767696381,0.01350504239211432,0.3103788971900939,0.0037926976382972985,0.8250411629676819,0.011959597891632295,0.0,0.0,0.0,0.0,45375.0,0.0,45375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ACM,hard,TA-DVFG-active,adaptive_graph_val,active,0.5,0.8688632369041442,0.022606663652463752,0.43677099665006003,0.004538640128720975,0.3545304715633392,0.021899267933844276,0.3097199201583862,0.0070859375173040655,0.8398681879043579,0.018136890914719147,5.0,0.0,90750.0,0.0,50820.0,4970.582209359382,141570.0,4970.582209359382,203850.0,0.0,9123.8,161.9280704510493,28.634714599966536,0.403108138600241,5
ACM,hard,TA-DVFG-joint-0.25,adaptive_graph_val,joint,0.25,0.864250385761261,0.019513737074813194,0.4393849436442057,0.003266029631040996,0.3614497482776642,0.02663060620753533,0.3097199261188507,0.009953084410210972,0.8622734546661377,0.007952222385460162,5.0,0.0,90750.0,0.0,47190.0,4058.463379162118,137940.0,4058.463379162118,203850.0,0.0,9047.0,184.28374860524193,28.36238609998254,0.5978092678757833,5
ACM,hard,TA-DVFG-joint-0.5,adaptive_graph_val,joint,0.5,0.8698516964912415,0.021948784937244503,0.4378692924976349,0.004518664720934785,0.3594728112220764,0.01957620894608737,0.30642502903938296,0.007727212875785286,0.8500823497772216,0.01440927853232155,5.0,0.0,90750.0,0.0,47190.0,4058.463379162118,137940.0,4058.463379162118,203850.0,0.0,9080.0,255.7097964490214,28.402600519987754,0.6145976337027113,5
ACM,hard,TA-DVFG-joint-0.75,adaptive_graph_val,joint,0.75,0.8685337424278259,0.02379975229610305,0.4380010890960692,0.004588597407445214,0.35584843158721924,0.022648646246686523,0.30906094908714293,0.005537965845183154,0.8553541779518128,0.01004807762049141,5.2,0.44721359549995804,94380.0,8116.926758324236,49005.0,4970.582209359382,143385.0,11832.352365442808,203850.0,0.0,9170.0,226.82041354340222,27.748913000058383,0.5849923384253094,5
ACM,hard,TA-DVFG-local,adaptive_graph_val,local_mean,0.5,0.8474464297294617,0.02143580673534992,0.43846237381299336,0.003469127455459623,0.3621087253093719,0.030004341666717217,0.3051070809364319,0.006832439047042492,0.8481054186820984,0.026701845753213858,6.6,1.140175425099138,119790.0,20694.183965549353,81675.0,18150.0,201465.0,38715.2731489783,203850.0,0.0,11003.6,545.8354147543014,37.48260400001891,2.220896256090656,5
DBLP,hard,Active Local Only,active_local_only,active,0.5,0.27051596641540526,0.013327964086994519,0.3134643665949503,0.023426830298070817,0.27051596641540526,0.013327964086994519,0.24963144659996028,0.011570111193907539,0.6312039256095886,0.2597363601466338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
DBLP,hard,Best Matched Sparse,best_matched_sparse,active,0.5,0.7965601742267608,0.22841302190403617,0.34561834096908567,0.00824347773933974,0.270515963435173,0.02061906651066396,0.24103193581104274,0.003826146183382365,0.893857479095459,0.016564286739272606,5.0,0.0,162280.0,0.0,103859.2,8888.441663193835,266139.2,8888.441663193837,7272000.0,0.0,900.0,0.0,0.0,0.0,5
DBLP,hard,Full Mesh,full_mesh,active,0.5,0.8744471669197083,0.01742566935270314,0.3772645262877146,0.004544013435703244,0.30712530016899103,0.013817226271805219,0.28476657867431643,0.0072886433197177445,0.8936117649078369,0.01593740860384241,105.0,0.0,3407880.0,0.0,243420.0,0.0,3651300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
DBLP,hard,Global Top-k Oracle,global_topk_reliability,active,0.5,0.901965594291687,0.01263029810401777,0.3332841908931732,0.005439608028319555,0.27395577430725093,0.008511305212640194,0.23906633257865906,0.00592998554691895,0.8936117887496948,0.0166324731302164,0.0,0.0,0.0,0.0,81140.0,0.0,81140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
DBLP,hard,TA-DVFG-active,adaptive_graph_val,active,0.5,0.8980343818664551,0.010674548221174704,0.359492214123408,0.014458972897266912,0.2938574850559234,0.04452702642364639,0.24054054021835322,0.009209665110171265,0.895823073387146,0.013580358521585045,5.2,0.44721359549995804,168771.2,14514.764455546638,110350.4,13577.318910594979,279121.6,26665.324989581502,363600.0,0.0,9268.6,217.12162490180467,28.542772700090428,0.9570277266220666,5
DBLP,hard,TA-DVFG-joint-0.25,adaptive_graph_val,joint,0.25,0.9014741897583007,0.013773449341473547,0.3844553565979004,0.004237252920026182,0.2754299700260162,0.022725605003805445,0.2415233373641968,0.01245581349257818,0.8960687756538391,0.015481081543454666,6.0,0.0,194736.0,0.0,133069.6,7257.382227773316,327805.6,7257.382227773324,363600.0,0.0,9491.4,456.3981814161842,29.640622700029052,1.756894020644801,5
DBLP,hard,TA-DVFG-joint-0.5,adaptive_graph_val,joint,0.5,0.8995085716247558,0.013990897182786847,0.38248975376288097,0.007603353308455671,0.26314495503902435,0.016074124033266052,0.23783783912658688,0.009696605243161745,0.8995085716247558,0.014828777521661896,5.4,0.5477225575051662,175262.4,17776.88332638767,120087.2,8888.441663193835,295349.6,26665.324989581502,363600.0,0.0,9005.2,178.57547423988527,27.53610069997376,0.7746891822665797,5
