dataset,seed,weak_count,num_parties,method,test_at_best_val,macro_f1,selected_links,peer_communication,readout_communication,topology_control_communication,total_communication,candidate_evaluations,topology_time_seconds,selected_edges,useful_party_mask,party_view_names,party_permutation,parent_cache,parent_cache_fingerprint,subset_cache_fingerprint
ACM,42,0,3,single_party_best,0.8121910691261292,0.8130015411075227,0,0,0,0,0,0,0.0,[],"[true, true, true]","[""KNN"", ""PAP"", ""PSP""]","[2, 0, 1]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\nested_weak_cache\acm\nested_weak18_acm_hard_n18_useful3_seed42_party_preds.pt,59d2dc438a852431c287ba89d276ec71c7fdb91ec31f8eb1382dbfa1aba0493c,65439db93ff76c2b52f461c0cadd9e6046fb846f69d9caf29d529853a3042e6c
ACM,42,0,3,topk_reliability_vote,0.8714991807937622,0.8713556136982805,0,0,27225,0,27225,0,0.0,[],"[true, true, true]","[""KNN"", ""PAP"", ""PSP""]","[2, 0, 1]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\nested_weak_cache\acm\nested_weak18_acm_hard_n18_useful3_seed42_party_preds.pt,59d2dc438a852431c287ba89d276ec71c7fdb91ec31f8eb1382dbfa1aba0493c,65439db93ff76c2b52f461c0cadd9e6046fb846f69d9caf29d529853a3042e6c
ACM,42,0,3,random_matched,0.8714991807937622,0.8713556136982805,3,54450,27225,0,81675,0,0.0,"[[0,1],[0,2],[1,2]]","[true, true, true]","[""KNN"", ""PAP"", ""PSP""]","[2, 0, 1]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\nested_weak_cache\acm\nested_weak18_acm_hard_n18_useful3_seed42_party_preds.pt,59d2dc438a852431c287ba89d276ec71c7fdb91ec31f8eb1382dbfa1aba0493c,65439db93ff76c2b52f461c0cadd9e6046fb846f69d9caf29d529853a3042e6c
ACM,42,0,3,adaptive_pair,0.8714991807937622,0.8713556136982805,3,54450,27225,1630800,81675,0,1.9566781999728846,"[[0,1],[0,2],[1,2]]","[true, true, true]","[""KNN"", ""PAP"", ""PSP""]","[2, 0, 1]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\nested_weak_cache\acm\nested_weak18_acm_hard_n18_useful3_seed42_party_preds.pt,59d2dc438a852431c287ba89d276ec71c7fdb91ec31f8eb1382dbfa1aba0493c,65439db93ff76c2b52f461c0cadd9e6046fb846f69d9caf29d529853a3042e6c
ACM,42,0,3,adaptive_complementarity,0.8714991807937622,0.8713556136982805,3,54450,27225,1630800,81675,0,2.3212163999724,"[[0,1],[0,2],[1,2]]","[true, true, true]","[""KNN"", ""PAP"", ""PSP""]","[2, 0, 1]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\nested_weak_cache\acm\nested_weak18_acm_hard_n18_useful3_seed42_party_preds.pt,59d2dc438a852431c287ba89d276ec71c7fdb91ec31f8eb1382dbfa1aba0493c,65439db93ff76c2b52f461c0cadd9e6046fb846f69d9caf29d529853a3042e6c
ACM,42,0,3,full_mesh,0.8714991807937622,0.8713556136982805,3,54450,27225,0,81675,0,0.0,"[[0,1],[0,2],[1,2]]","[true, true, true]","[""KNN"", ""PAP"", ""PSP""]","[2, 0, 1]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\nested_weak_cache\acm\nested_weak18_acm_hard_n18_useful3_seed42_party_preds.pt,59d2dc438a852431c287ba89d276ec71c7fdb91ec31f8eb1382dbfa1aba0493c,65439db93ff76c2b52f461c0cadd9e6046fb846f69d9caf29d529853a3042e6c
ACM,42,0,3,adaptive_graph_val,0.8714991807937622,0.8713556136982805,3,54450,27225,1630800,81675,1800,7.390031499975521,"[[0,1],[0,2],[1,2]]","[true, true, true]","[""KNN"", ""PAP"", ""PSP""]","[2, 0, 1]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\nested_weak_cache\acm\nested_weak18_acm_hard_n18_useful3_seed42_party_preds.pt,59d2dc438a852431c287ba89d276ec71c7fdb91ec31f8eb1382dbfa1aba0493c,65439db93ff76c2b52f461c0cadd9e6046fb846f69d9caf29d529853a3042e6c
ACM,42,2,5,single_party_best,0.8121910691261292,0.8130015411075227,0,0,0,0,0,0,0.0,[],"[false, true, false, true, true]","[""RANDOM"", ""PAP"", ""RANDOM"", ""PSP"", ""KNN""]","[3, 0, 4, 1, 2]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\nested_weak_cache\acm\nested_weak18_acm_hard_n18_useful3_seed42_party_preds.pt,59d2dc438a852431c287ba89d276ec71c7fdb91ec31f8eb1382dbfa1aba0493c,b4e43ed20dbd6d119cd69534475927d3db1455641578e5c3200408020acd5377
ACM,42,2,5,topk_reliability_vote,0.8369027972221375,0.8370604844408945,0,0,45375,0,45375,0,0.0,[],"[false, true, false, true, true]","[""RANDOM"", ""PAP"", ""RANDOM"", ""PSP"", ""KNN""]","[3, 0, 4, 1, 2]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\nested_weak_cache\acm\nested_weak18_acm_hard_n18_useful3_seed42_party_preds.pt,59d2dc438a852431c287ba89d276ec71c7fdb91ec31f8eb1382dbfa1aba0493c,b4e43ed20dbd6d119cd69534475927d3db1455641578e5c3200408020acd5377
ACM,42,2,5,random_matched,0.8418450951576233,0.8424290224407301,5,90750,45375,0,136125,0,0.0,"[[0,1],[0,2],[0,3],[1,2],[3,4]]","[false, true, false, true, true]","[""RANDOM"", ""PAP"", ""RANDOM"", ""PSP"", ""KNN""]","[3, 0, 4, 1, 2]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\nested_weak_cache\acm\nested_weak18_acm_hard_n18_useful3_seed42_party_preds.pt,59d2dc438a852431c287ba89d276ec71c7fdb91ec31f8eb1382dbfa1aba0493c,b4e43ed20dbd6d119cd69534475927d3db1455641578e5c3200408020acd5377
