dataset,weak_count,comparison,test_at_best_val_diff_mean,test_at_best_val_diff_std,communication_reduction_mean,communication_reduction_std,paired_t_p,wilcoxon_p
ACM,0,TA-DVFG vs full_mesh,0.0,0.0,0.0,0.0,,1.0
ACM,0,TA-DVFG vs adaptive_pair,0.0,0.0,0.0,0.0,,1.0
ACM,0,TA-DVFG vs topk_reliability_vote,0.0,0.0,-2.0,0.0,,1.0
ACM,2,TA-DVFG vs full_mesh,0.013179576396942139,0.007143138056891701,0.512,0.016000000000000014,0.021016220156405568,0.0625
ACM,2,TA-DVFG vs adaptive_pair,0.006260299682617187,0.004219520181512017,0.06153846153846154,0.03076923076923077,0.04125439788789836,0.125
ACM,2,TA-DVFG vs topk_reliability_vote,0.01252058744430542,0.004842479739751087,-1.44,0.08000000000000007,0.006646721814508805,0.0625
ACM,5,TA-DVFG vs full_mesh,0.037232279777526855,0.0063890304322038165,0.753125,0.00625,0.00030979449951138094,0.0625
ACM,5,TA-DVFG vs adaptive_pair,0.026688623428344726,0.00535358259330738,0.26796536796536796,0.02950082257558584,0.0005684948699239272,0.0625
ACM,5,TA-DVFG vs topk_reliability_vote,-0.01252061128616333,0.012485845956860725,-2.16,0.08000000000000007,0.11538076724652852,0.1875
ACM,10,TA-DVFG vs full_mesh,0.09093903303146363,0.01896782439770874,0.9076923076923077,0.00289880442932922,0.0006610719545970513,0.0625
ACM,10,TA-DVFG vs adaptive_pair,0.07907744646072387,0.020123137186577853,0.573076923076923,0.02373238184088004,0.0014162062134770264,0.0625
ACM,10,TA-DVFG vs topk_reliability_vote,-0.007907748222351074,0.01668400399975434,-2.12,0.09797958971132721,0.39683555549669186,0.4375
ACM,15,TA-DVFG vs full_mesh,0.1258649230003357,0.02740116231683099,0.9506172839506173,0.0019520232470175269,0.0007797201509162168,0.0625
ACM,15,TA-DVFG vs adaptive_pair,0.1011532187461853,0.026247720249026007,0.6505314009661836,0.01646939188611595,0.0015249249233389175,0.0625
ACM,15,TA-DVFG vs topk_reliability_vote,-0.007578253746032715,0.02038045453235296,-2.2,0.12649110640673514,0.4983803697093831,0.4375
DBLP,0,TA-DVFG vs full_mesh,0.0,0.0,0.0,0.0,,1.0
DBLP,0,TA-DVFG vs adaptive_pair,0.0,0.0,0.0,0.0,,1.0
DBLP,0,TA-DVFG vs topk_reliability_vote,0.001965606212615967,0.0022785272318743524,-2.0,0.0,0.15955171707597546,0.25
DBLP,2,TA-DVFG vs full_mesh,0.0004913926124572754,0.0018386546583400954,0.48,0.04381780460041329,0.6213141411592733,1.0
DBLP,2,TA-DVFG vs adaptive_pair,0.0007370948791503906,0.0024073600447324754,0.0,0.08426500884694864,0.5733950367908832,0.75
DBLP,2,TA-DVFG vs topk_reliability_vote,0.0007370948791503906,0.0027579883594226863,-1.6,0.21908902300206645,0.6213121924347561,1.0
DBLP,5,TA-DVFG vs full_mesh,0.008353805541992188,0.002948421239943277,0.746875,0.01530931089239486,0.004782622994223201,0.0625
DBLP,5,TA-DVFG vs adaptive_pair,0.007862401008605958,0.0028653429064064667,0.23506493506493506,0.05556661121980967,0.00537052836887415,0.0625
DBLP,5,TA-DVFG vs topk_reliability_vote,-0.000982809066772461,0.0052352123808974945,-2.2399999999999998,0.19595917942265426,0.7263795135292193,0.875
DBLP,10,TA-DVFG vs full_mesh,0.024078619480133057,0.010148368265093903,0.9017751479289942,0.007100591715976323,0.009001865274874274,0.0625
DBLP,10,TA-DVFG vs adaptive_pair,0.026289916038513182,0.0087422385676397,0.5485793485793484,0.03375209820095821,0.0038484305678177875,0.0625
DBLP,10,TA-DVFG vs topk_reliability_vote,-0.001965618133544922,0.010383557542076701,-2.3200000000000003,0.23999999999999985,0.7242206738700324,0.625
DBLP,15,TA-DVFG vs full_mesh,0.05159705877304077,0.012672035388392646,0.9475308641975309,0.004781460921243746,0.0012372913085990972,0.0625
DBLP,15,TA-DVFG vs adaptive_pair,0.03857492208480835,0.012875254747202029,0.6257004830917874,0.031855352324629785,0.0039013235824256697,0.0625
DBLP,15,TA-DVFG vs topk_reliability_vote,-0.00614250898361206,0.003203542758870116,-2.4000000000000004,0.3098386676965933,0.018541431465671988,0.0625
